word_index,word,start,end,speech_region_index,sentence_index
0,the,0.300000,0.390000,0,-1
1,soup,0.390000,0.670000,0,-1
2,was,0.670000,0.820000,0,-1
3,warm,0.820000,1.330000,0,-1
4,and,1.330000,1.490000,0,-1
5,the,1.490000,1.530000,0,-1
6,bread,1.530000,1.790000,0,-1
7,was,1.790000,1.950000,0,-1
8,fresh,1.950000,2.510000,0,-1
9,yet,2.660000,2.860000,1,-1
10,nobody,2.860000,3.270000,1,-1
11,touched,3.270000,3.580000,1,-1
12,the,3.580000,3.650000,1,-1
13,salad,3.650000,4.100000,1,-1
