word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,because,1,we,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,we,2,finished,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,finished,3,ahead,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,ahead,4,of,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,of,5,schedule,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,schedule,6,we,",",",",region_break,1,comma_with_lull,0.180000,0.180000,0.180000,0.180000,0,1
6,we,7,cleaned,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,cleaned,8,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,the,9,room,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,room,10,filed,",",",",region_break,1,comma_with_lull,0.220000,0.220000,0.220000,0.220000,1,2
10,filed,11,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
11,the,12,notes,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
12,notes,13,and,",",",",region_break,1,comma_with_lull,0.260000,0.260000,0.260000,0.260000,2,3
13,and,14,went,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
14,went,15,home,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
