start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.440000,0.480000,HH,while,1.0,0,0,0,-1,mfa_textgrid_phone
0.480000,0.560000,W,while,1.0,0,0,1,-1,mfa_textgrid_phone
0.560000,0.750000,AY1,while,1.0,0,0,2,-1,mfa_textgrid_phone
0.750000,0.850000,L,while,1.0,0,0,3,-1,mfa_textgrid_phone
0.880000,1.030000,AE1,anna,1.0,1,0,0,-1,mfa_textgrid_phone
1.030000,1.080000,N,anna,1.0,1,0,1,-1,mfa_textgrid_phone
1.080000,1.160000,AH0,anna,1.0,1,0,2,-1,mfa_textgrid_phone
1.160000,1.260000,M,measured,1.0,2,0,0,-1,mfa_textgrid_phone
1.260000,1.340000,EH1,measured,1.0,2,0,1,-1,mfa_textgrid_phone
1.340000,1.430000,ZH,measured,1.0,2,0,2,-1,mfa_textgrid_phone
1.430000,1.530000,ER0,measured,1.0,2,0,3,-1,mfa_textgrid_phone
1.530000,1.580000,D,measured,1.0,2,0,4,-1,mfa_textgrid_phone
1.580000,1.620000,DH,the,1.0,3,0,0,-1,mfa_textgrid_phone
1.620000,1.680000,AH0,the,1.0,3,0,1,-1,mfa_textgrid_phone
1.680000,1.770000,W,wall,1.0,4,0,0,-1,mfa_textgrid_phone
1.770000,2.050000,AA1,wall,1.0,4,0,1,-1,mfa_textgrid_phone
2.050000,2.150000,L,wall,1.0,4,0,2,-1,mfa_textgrid_phone
2.570000,2.670000,B,ben,1.0,5,1,0,-1,mfa_textgrid_phone
2.670000,2.800000,EH1,ben,1.0,5,1,1,-1,mfa_textgrid_phone
2.800000,2.920000,N,ben,1.0,5,1,2,-1,mfa_textgrid_phone
2.920000,3.000000,M,moved,1.0,6,1,0,-1,mfa_textgrid_phone
3.000000,3.150000,UW1,moved,1.0,6,1,1,-1,mfa_textgrid_phone
3.150000,3.200000,V,moved,1.0,6,1,2,-1,mfa_textgrid_phone
3.200000,3.300000,D,moved,1.0,6,1,3,-1,mfa_textgrid_phone
3.300000,3.330000,DH,the,1.0,7,1,0,-1,mfa_textgrid_phone
3.330000,3.380000,AH0,the,1.0,7,1,1,-1,mfa_textgrid_phone
3.380000,3.530000,CH,chairs,1.0,8,1,0,-1,mfa_textgrid_phone
3.530000,3.690000,EH1,chairs,1.0,8,1,1,-1,mfa_textgrid_phone
3.690000,3.830000,R,chairs,1.0,8,1,2,-1,mfa_textgrid_phone
3.830000,3.950000,Z,chairs,1.0,8,1,3,-1,mfa_textgrid_phone
3.950000,4.040000,AE1,and,1.0,9,1,0,-1,mfa_textgrid_phone
4.040000,4.070000,N,and,1.0,9,1,1,-1,mfa_textgrid_phone
4.070000,4.110000,D,and,1.0,9,1,2,-1,mfa_textgrid_phone
4.110000,4.190000,AY1,i,1.0,10,1,0,-1,mfa_textgrid_phone
4.190000,4.380000,S,swept,1.0,11,1,0,-1,mfa_textgrid_phone
4.380000,4.420000,W,swept,1.0,11,1,1,-1,mfa_textgrid_phone
4.420000,4.500000,EH1,swept,1.0,11,1,2,-1,mfa_textgrid_phone
4.500000,4.570000,P,swept,1.0,11,1,3,-1,mfa_textgrid_phone
4.570000,4.650000,T,swept,1.0,11,1,4,-1,mfa_textgrid_phone
4.650000,4.700000,DH,the,1.0,12,1,0,-1,mfa_textgrid_phone
4.700000,4.730000,AH0,the,1.0,12,1,1,-1,mfa_textgrid_phone
4.730000,4.860000,F,floor,1.0,13,1,0,-1,mfa_textgrid_phone
4.860000,4.910000,L,floor,1.0,13,1,1,-1,mfa_textgrid_phone
4.910000,5.030000,AO1,floor,1.0,13,1,2,-1,mfa_textgrid_phone
5.030000,5.280000,R,floor,1.0,13,1,3,-1,mfa_textgrid_phone
