word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,while,1,anna,,,none,0,none,0.040000,0.040000,0.000000,0.040000,0,0
1,anna,2,measured,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,measured,3,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,the,4,wall,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,wall,5,ben,",",",",soft_pause,0,none,0.100000,0.100000,0.100000,0.100000,0,0
5,ben,6,moved,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,moved,7,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,the,8,chairs,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,chairs,9,and,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,and,10,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,i,11,swept,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
11,swept,12,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
12,the,13,floor,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
