start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.620000,0.660000,HH,while,1.0,0,0,0,-1,mfa_textgrid_phone
0.660000,0.700000,W,while,1.0,0,0,1,-1,mfa_textgrid_phone
0.700000,0.770000,AY1,while,1.0,0,0,2,-1,mfa_textgrid_phone
0.770000,0.830000,L,while,1.0,0,0,3,-1,mfa_textgrid_phone
0.870000,1.030000,AE1,anna,1.0,1,0,0,-1,mfa_textgrid_phone
1.030000,1.080000,N,anna,1.0,1,0,1,-1,mfa_textgrid_phone
1.080000,1.160000,AH0,anna,1.0,1,0,2,-1,mfa_textgrid_phone
1.160000,1.240000,M,measured,1.0,2,0,0,-1,mfa_textgrid_phone
1.240000,1.330000,EH1,measured,1.0,2,0,1,-1,mfa_textgrid_phone
1.330000,1.410000,ZH,measured,1.0,2,0,2,-1,mfa_textgrid_phone
1.410000,1.470000,ER0,measured,1.0,2,0,3,-1,mfa_textgrid_phone
1.470000,1.550000,D,measured,1.0,2,0,4,-1,mfa_textgrid_phone
1.550000,1.580000,DH,the,1.0,3,0,0,-1,mfa_textgrid_phone
1.580000,1.630000,AH1,the,1.0,3,0,1,-1,mfa_textgrid_phone
1.630000,1.740000,W,wall,1.0,4,0,0,-1,mfa_textgrid_phone
1.740000,1.990000,AA1,wall,1.0,4,0,1,-1,mfa_textgrid_phone
1.990000,2.150000,L,wall,1.0,4,0,2,-1,mfa_textgrid_phone
2.250000,2.390000,B,ben,1.0,5,0,0,-1,mfa_textgrid_phone
2.390000,2.520000,EH1,ben,1.0,5,0,1,-1,mfa_textgrid_phone
2.520000,2.630000,N,ben,1.0,5,0,2,-1,mfa_textgrid_phone
2.630000,2.690000,M,moved,1.0,6,0,0,-1,mfa_textgrid_phone
2.690000,2.840000,UW1,moved,1.0,6,0,1,-1,mfa_textgrid_phone
2.840000,2.900000,V,moved,1.0,6,0,2,-1,mfa_textgrid_phone
2.900000,2.990000,D,moved,1.0,6,0,3,-1,mfa_textgrid_phone
2.990000,3.030000,DH,the,1.0,7,0,0,-1,mfa_textgrid_phone
3.030000,3.070000,AH0,the,1.0,7,0,1,-1,mfa_textgrid_phone
3.070000,3.230000,CH,chairs,1.0,8,0,0,-1,mfa_textgrid_phone
3.230000,3.350000,EH1,chairs,1.0,8,0,1,-1,mfa_textgrid_phone
3.350000,3.480000,R,chairs,1.0,8,0,2,-1,mfa_textgrid_phone
3.480000,3.550000,Z,chairs,1.0,8,0,3,-1,mfa_textgrid_phone
3.550000,3.590000,AH0,and,1.0,9,0,0,-1,mfa_textgrid_phone
3.590000,3.620000,N,and,1.0,9,0,1,-1,mfa_textgrid_phone
3.620000,3.660000,D,and,1.0,9,0,2,-1,mfa_textgrid_phone
3.660000,3.770000,AY1,i,1.0,10,0,0,-1,mfa_textgrid_phone
3.770000,3.940000,S,swept,1.0,11,0,0,-1,mfa_textgrid_phone
3.940000,4.000000,W,swept,1.0,11,0,1,-1,mfa_textgrid_phone
4.000000,4.040000,EH1,swept,1.0,11,0,2,-1,mfa_textgrid_phone
4.040000,4.120000,P,swept,1.0,11,0,3,-1,mfa_textgrid_phone
4.120000,4.210000,T,swept,1.0,11,0,4,-1,mfa_textgrid_phone
4.210000,4.240000,DH,the,1.0,12,0,0,-1,mfa_textgrid_phone
4.240000,4.270000,AH0,the,1.0,12,0,1,-1,mfa_textgrid_phone
4.270000,4.400000,F,floor,1.0,13,0,0,-1,mfa_textgrid_phone
4.400000,4.450000,L,floor,1.0,13,0,1,-1,mfa_textgrid_phone
4.450000,4.570000,AO1,floor,1.0,13,0,2,-1,mfa_textgrid_phone
4.570000,4.750000,R,floor,1.0,13,0,3,-1,mfa_textgrid_phone
