start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.330000,0.440000,AY1,i,1.0,0,0,0,-1,mfa_textgrid_phone
0.440000,0.600000,AE1,asked,1.0,1,0,0,-1,mfa_textgrid_phone
0.600000,0.660000,S,asked,1.0,1,0,1,-1,mfa_textgrid_phone
0.660000,0.710000,T,asked,1.0,1,0,2,-1,mfa_textgrid_phone
0.710000,0.780000,F,for,1.0,2,0,0,-1,mfa_textgrid_phone
0.780000,0.820000,ER0,for,1.0,2,0,1,-1,mfa_textgrid_phone
0.820000,0.870000,DH,the,1.0,3,0,0,-1,mfa_textgrid_phone
0.870000,0.910000,AH0,the,1.0,3,0,1,-1,mfa_textgrid_phone
0.910000,1.010000,B,blue,1.0,4,0,0,-1,mfa_textgrid_phone
1.010000,1.080000,L,blue,1.0,4,0,1,-1,mfa_textgrid_phone
1.080000,1.170000,UW1,blue,1.0,4,0,2,-1,mfa_textgrid_phone
1.170000,1.300000,F,folder,1.0,5,0,0,-1,mfa_textgrid_phone
1.300000,1.380000,OW1,folder,1.0,5,0,1,-1,mfa_textgrid_phone
1.380000,1.420000,L,folder,1.0,5,0,2,-1,mfa_textgrid_phone
1.420000,1.470000,D,folder,1.0,5,0,3,-1,mfa_textgrid_phone
1.470000,1.630000,ER0,folder,1.0,5,0,4,-1,mfa_textgrid_phone
1.630000,1.820000,N,not,1.0,6,0,0,-1,mfa_textgrid_phone
1.820000,1.910000,AA1,not,1.0,6,0,1,-1,mfa_textgrid_phone
1.910000,1.960000,T,not,1.0,6,0,2,-1,mfa_textgrid_phone
1.960000,1.990000,DH,the,1.0,7,0,0,-1,mfa_textgrid_phone
1.990000,2.030000,AH1,the,1.0,7,0,1,-1,mfa_textgrid_phone
2.030000,2.100000,B,black,1.0,8,0,0,-1,mfa_textgrid_phone
2.100000,2.170000,L,black,1.0,8,0,1,-1,mfa_textgrid_phone
2.170000,2.260000,AE1,black,1.0,8,0,2,-1,mfa_textgrid_phone
2.260000,2.330000,K,black,1.0,8,0,3,-1,mfa_textgrid_phone
2.330000,2.420000,F,folder,1.0,9,0,0,-1,mfa_textgrid_phone
2.420000,2.470000,OW1,folder,1.0,9,0,1,-1,mfa_textgrid_phone
2.470000,2.540000,L,folder,1.0,9,0,2,-1,mfa_textgrid_phone
2.540000,2.600000,D,folder,1.0,9,0,3,-1,mfa_textgrid_phone
2.600000,2.730000,ER0,folder,1.0,9,0,4,-1,mfa_textgrid_phone
