start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.500000,0.540000,DH,DH,the,1.0,0,0,-1,DH,0,mfa_textgrid_phone
0.540000,0.590000,AH0,AH0,the,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.590000,0.670000,R,R,room,1.0,1,0,-1,R,0,mfa_textgrid_phone
0.670000,0.750000,UW1,UW1,room,1.0,1,0,-1,UW1,1,mfa_textgrid_phone
0.750000,0.820000,M,M,room,1.0,1,0,-1,M,2,mfa_textgrid_phone
0.820000,0.860000,L,L,looks,1.0,2,0,-1,L,0,mfa_textgrid_phone
0.860000,0.920000,UH1,UH1,looks,1.0,2,0,-1,UH1,1,mfa_textgrid_phone
0.920000,0.970000,K,K,looks,1.0,2,0,-1,K,2,mfa_textgrid_phone
0.970000,1.020000,S,S,looks,1.0,2,0,-1,S,3,mfa_textgrid_phone
1.020000,1.140000,S,S,small,1.0,3,0,-1,S,0,mfa_textgrid_phone
1.140000,1.200000,M,M,small,1.0,3,0,-1,M,1,mfa_textgrid_phone
1.200000,1.390000,AO1,AO1,small,1.0,3,0,-1,AO1,2,mfa_textgrid_phone
1.390000,1.430000,L,L,small,1.0,3,0,-1,L,3,mfa_textgrid_phone
1.430000,1.520000,F,F,from,1.0,4,0,-1,F,0,mfa_textgrid_phone
1.520000,1.560000,ER0,ER0,from,1.0,4,0,-1,ER0,1,mfa_textgrid_phone
1.560000,1.600000,M,M,from,1.0,4,0,-1,M,2,mfa_textgrid_phone
1.600000,1.720000,AW1,AW1,outside,1.0,5,0,-1,AW1,0,mfa_textgrid_phone
1.720000,1.780000,T,T,outside,1.0,5,0,-1,T,1,mfa_textgrid_phone
1.780000,1.880000,S,S,outside,1.0,5,0,-1,S,2,mfa_textgrid_phone
1.880000,2.140000,AY1,AY1,outside,1.0,5,0,-1,AY1,3,mfa_textgrid_phone
2.140000,2.240000,D,D,outside,1.0,5,0,-1,D,4,mfa_textgrid_phone
2.900000,2.940000,B,B,but,1.0,6,1,-1,B,0,mfa_textgrid_phone
2.940000,2.970000,AH1,AH1,but,1.0,6,1,-1,AH1,1,mfa_textgrid_phone
2.970000,3.010000,T,T,but,1.0,6,1,-1,T,2,mfa_textgrid_phone
3.010000,3.060000,IH0,IH0,it,1.0,7,1,-1,IH0,0,mfa_textgrid_phone
3.060000,3.110000,T,T,it,1.0,7,1,-1,T,1,mfa_textgrid_phone
3.110000,3.240000,F,F,feels,1.0,8,1,-1,F,0,mfa_textgrid_phone
3.240000,3.330000,IY1,IY1,feels,1.0,8,1,-1,IY1,1,mfa_textgrid_phone
3.330000,3.400000,L,L,feels,1.0,8,1,-1,L,2,mfa_textgrid_phone
3.400000,3.460000,Z,Z,feels,1.0,8,1,-1,Z,3,mfa_textgrid_phone
3.460000,3.510000,IH0,IH0,enormous,1.0,9,1,-1,IH0,0,mfa_textgrid_phone
3.510000,3.610000,N,N,enormous,1.0,9,1,-1,N,1,mfa_textgrid_phone
3.610000,3.700000,AO1,AO1,enormous,1.0,9,1,-1,AO1,2,mfa_textgrid_phone
3.700000,3.750000,R,R,enormous,1.0,9,1,-1,R,3,mfa_textgrid_phone
3.750000,3.820000,M,M,enormous,1.0,9,1,-1,M,4,mfa_textgrid_phone
3.820000,3.890000,AH0,AH0,enormous,1.0,9,1,-1,AH0,5,mfa_textgrid_phone
3.890000,4.000000,S,S,enormous,1.0,9,1,-1,S,6,mfa_textgrid_phone
4.000000,4.060000,W,W,once,1.0,10,1,-1,W,0,mfa_textgrid_phone
4.060000,4.100000,AH1,AH1,once,1.0,10,1,-1,AH1,1,mfa_textgrid_phone
4.100000,4.150000,N,N,once,1.0,10,1,-1,N,2,mfa_textgrid_phone
4.150000,4.240000,S,S,once,1.0,10,1,-1,S,3,mfa_textgrid_phone
4.240000,4.270000,Y,Y,you,1.0,11,1,-1,Y,0,mfa_textgrid_phone
4.270000,4.330000,UW1,UW1,you,1.0,11,1,-1,UW1,1,mfa_textgrid_phone
4.330000,4.400000,EH1,EH1,enter,1.0,12,1,-1,EH1,0,mfa_textgrid_phone
4.400000,4.460000,N,N,enter,1.0,12,1,-1,N,1,mfa_textgrid_phone
4.460000,4.530000,T,T,enter,1.0,12,1,-1,T,2,mfa_textgrid_phone
4.530000,4.720000,ER0,ER0,enter,1.0,12,1,-1,ER0,3,mfa_textgrid_phone
