start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.530000,0.660000,S,some,1.0,0,0,0,-1,mfa_textgrid_phone
0.660000,0.740000,AH1,some,1.0,0,0,1,-1,mfa_textgrid_phone
0.740000,0.800000,M,some,1.0,0,0,2,-1,mfa_textgrid_phone
0.800000,0.860000,P,people,1.0,1,0,0,-1,mfa_textgrid_phone
0.860000,0.950000,IY1,people,1.0,1,0,1,-1,mfa_textgrid_phone
0.950000,1.000000,P,people,1.0,1,0,2,-1,mfa_textgrid_phone
1.000000,1.030000,AH0,people,1.0,1,0,3,-1,mfa_textgrid_phone
1.030000,1.090000,L,people,1.0,1,0,4,-1,mfa_textgrid_phone
1.090000,1.160000,P,prefer,1.0,2,0,0,-1,mfa_textgrid_phone
1.160000,1.200000,R,prefer,1.0,2,0,1,-1,mfa_textgrid_phone
1.200000,1.250000,AH0,prefer,1.0,2,0,2,-1,mfa_textgrid_phone
1.250000,1.350000,F,prefer,1.0,2,0,3,-1,mfa_textgrid_phone
1.350000,1.470000,ER1,prefer,1.0,2,0,4,-1,mfa_textgrid_phone
1.470000,1.530000,AH0,an,1.0,3,0,0,-1,mfa_textgrid_phone
1.530000,1.590000,N,an,1.0,3,0,1,-1,mfa_textgrid_phone
1.620000,1.750000,ER1,early,1.0,4,0,0,-1,mfa_textgrid_phone
1.750000,1.820000,L,early,1.0,4,0,1,-1,mfa_textgrid_phone
1.820000,1.880000,IY0,early,1.0,4,0,2,-1,mfa_textgrid_phone
1.880000,2.000000,S,start,1.0,5,0,0,-1,mfa_textgrid_phone
2.000000,2.060000,T,start,1.0,5,0,1,-1,mfa_textgrid_phone
2.060000,2.160000,AA1,start,1.0,5,0,2,-1,mfa_textgrid_phone
2.160000,2.280000,R,start,1.0,5,0,3,-1,mfa_textgrid_phone
2.280000,2.380000,T,start,1.0,5,0,4,-1,mfa_textgrid_phone
2.810000,2.890000,AH1,others,1.0,6,1,0,-1,mfa_textgrid_phone
2.890000,2.950000,DH,others,1.0,6,1,1,-1,mfa_textgrid_phone
2.950000,3.060000,ER0,others,1.0,6,1,2,-1,mfa_textgrid_phone
3.060000,3.150000,Z,others,1.0,6,1,3,-1,mfa_textgrid_phone
3.150000,3.210000,D,do,1.0,7,1,0,-1,mfa_textgrid_phone
3.210000,3.300000,UW1,do,1.0,7,1,1,-1,mfa_textgrid_phone
3.300000,3.340000,DH,their,1.0,8,1,0,-1,mfa_textgrid_phone
3.340000,3.400000,EH1,their,1.0,8,1,1,-1,mfa_textgrid_phone
3.400000,3.450000,R,their,1.0,8,1,2,-1,mfa_textgrid_phone
3.450000,3.530000,B,best,1.0,9,1,0,-1,mfa_textgrid_phone
3.530000,3.630000,EH1,best,1.0,9,1,1,-1,mfa_textgrid_phone
3.630000,3.710000,S,best,1.0,9,1,2,-1,mfa_textgrid_phone
3.710000,3.780000,T,best,1.0,9,1,3,-1,mfa_textgrid_phone
3.780000,3.860000,W,work,1.0,10,1,0,-1,mfa_textgrid_phone
3.860000,3.960000,ER1,work,1.0,10,1,1,-1,mfa_textgrid_phone
3.960000,4.050000,K,work,1.0,10,1,2,-1,mfa_textgrid_phone
4.050000,4.130000,L,late,1.0,11,1,0,-1,mfa_textgrid_phone
4.130000,4.240000,EY1,late,1.0,11,1,1,-1,mfa_textgrid_phone
4.240000,4.270000,T,late,1.0,11,1,2,-1,mfa_textgrid_phone
4.270000,4.340000,AE1,at,1.0,12,1,0,-1,mfa_textgrid_phone
4.340000,4.390000,T,at,1.0,12,1,1,-1,mfa_textgrid_phone
4.390000,4.450000,N,night,1.0,13,1,0,-1,mfa_textgrid_phone
4.450000,4.660000,AY1,night,1.0,13,1,1,-1,mfa_textgrid_phone
4.660000,4.800000,T,night,1.0,13,1,2,-1,mfa_textgrid_phone
