start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.520000,0.650000,S,S,some,1.0,0,0,-1,S,0,mfa_textgrid_phone
0.650000,0.750000,AH1,AH1,some,1.0,0,0,-1,AH1,1,mfa_textgrid_phone
0.750000,0.840000,M,M,some,1.0,0,0,-1,M,2,mfa_textgrid_phone
0.840000,0.950000,P,P,people,1.0,1,0,-1,P,0,mfa_textgrid_phone
0.950000,1.030000,IY1,IY1,people,1.0,1,0,-1,IY1,1,mfa_textgrid_phone
1.030000,1.110000,P,P,people,1.0,1,0,-1,P,2,mfa_textgrid_phone
1.110000,1.140000,AH0,AH0,people,1.0,1,0,-1,AH0,3,mfa_textgrid_phone
1.140000,1.230000,L,L,people,1.0,1,0,-1,L,4,mfa_textgrid_phone
1.230000,1.340000,P,P,prefer,1.0,2,0,-1,P,0,mfa_textgrid_phone
1.340000,1.380000,R,R,prefer,1.0,2,0,-1,R,1,mfa_textgrid_phone
1.380000,1.420000,AH0,AH0,prefer,1.0,2,0,-1,AH0,2,mfa_textgrid_phone
1.420000,1.550000,F,F,prefer,1.0,2,0,-1,F,3,mfa_textgrid_phone
1.550000,1.740000,ER1,ER1,prefer,1.0,2,0,-1,ER1,4,mfa_textgrid_phone
1.770000,1.820000,AE1,AE1,an,1.0,3,0,-1,AE1,0,mfa_textgrid_phone
1.820000,1.930000,N,N,an,1.0,3,0,-1,N,1,mfa_textgrid_phone
1.990000,2.150000,ER1,ER1,early,1.0,4,0,-1,ER1,0,mfa_textgrid_phone
2.150000,2.230000,L,L,early,1.0,4,0,-1,L,1,mfa_textgrid_phone
2.230000,2.310000,IY0,IY0,early,1.0,4,0,-1,IY0,2,mfa_textgrid_phone
2.310000,2.480000,S,S,start,1.0,5,0,-1,S,0,mfa_textgrid_phone
2.480000,2.550000,T,T,start,1.0,5,0,-1,T,1,mfa_textgrid_phone
2.550000,2.610000,AA1,AA1,start,1.0,5,0,-1,AA1,2,mfa_textgrid_phone
2.610000,2.740000,R,R,start,1.0,5,0,-1,R,3,mfa_textgrid_phone
2.740000,2.940000,T,T,start,1.0,5,0,-1,T,4,mfa_textgrid_phone
3.760000,3.870000,AH1,AH1,others,1.0,6,1,-1,AH1,0,mfa_textgrid_phone
3.870000,3.930000,DH,DH,others,1.0,6,1,-1,DH,1,mfa_textgrid_phone
3.930000,4.100000,ER0,ER0,others,1.0,6,1,-1,ER0,2,mfa_textgrid_phone
4.100000,4.200000,Z,Z,others,1.0,6,1,-1,Z,3,mfa_textgrid_phone
4.200000,4.300000,D,D,do,1.0,7,1,-1,D,0,mfa_textgrid_phone
4.300000,4.420000,UW1,UW1,do,1.0,7,1,-1,UW1,1,mfa_textgrid_phone
4.420000,4.460000,DH,DH,their,1.0,8,1,-1,DH,0,mfa_textgrid_phone
4.460000,4.530000,EH1,EH1,their,1.0,8,1,-1,EH1,1,mfa_textgrid_phone
4.530000,4.590000,R,R,their,1.0,8,1,-1,R,2,mfa_textgrid_phone
4.590000,4.750000,B,B,best,1.0,9,1,-1,B,0,mfa_textgrid_phone
4.750000,4.880000,EH1,EH1,best,1.0,9,1,-1,EH1,1,mfa_textgrid_phone
4.880000,5.010000,S,S,best,1.0,9,1,-1,S,2,mfa_textgrid_phone
5.010000,5.070000,T,T,best,1.0,9,1,-1,T,3,mfa_textgrid_phone
5.070000,5.170000,W,W,work,1.0,10,1,-1,W,0,mfa_textgrid_phone
5.170000,5.310000,ER1,ER1,work,1.0,10,1,-1,ER1,1,mfa_textgrid_phone
5.310000,5.470000,K,K,work,1.0,10,1,-1,K,2,mfa_textgrid_phone
5.510000,5.640000,L,L,late,1.0,11,1,-1,L,0,mfa_textgrid_phone
5.640000,5.770000,EY1,EY1,late,1.0,11,1,-1,EY1,1,mfa_textgrid_phone
5.770000,5.810000,T,T,late,1.0,11,1,-1,T,2,mfa_textgrid_phone
5.810000,5.890000,AE1,AE1,at,1.0,12,1,-1,AE1,0,mfa_textgrid_phone
5.890000,5.950000,T,T,at,1.0,12,1,-1,T,1,mfa_textgrid_phone
5.950000,6.020000,N,N,night,1.0,13,1,-1,N,0,mfa_textgrid_phone
6.020000,6.230000,AY1,AY1,night,1.0,13,1,-1,AY1,1,mfa_textgrid_phone
6.230000,6.350000,T,T,night,1.0,13,1,-1,T,2,mfa_textgrid_phone
