word_index,word,start,end,speech_region_index,sentence_index
0,some,0.520000,0.840000,0,-1
1,people,0.840000,1.230000,0,-1
2,prefer,1.230000,1.740000,0,-1
3,an,1.770000,1.930000,0,-1
4,early,1.990000,2.310000,0,-1
5,start,2.310000,2.940000,0,-1
6,others,3.760000,4.200000,1,-1
7,do,4.200000,4.420000,1,-1
8,their,4.420000,4.590000,1,-1
9,best,4.590000,5.070000,1,-1
10,work,5.070000,5.470000,1,-1
11,late,5.510000,5.810000,1,-1
12,at,5.810000,5.950000,1,-1
13,night,5.950000,6.350000,1,-1
