word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,the,1,old,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,old,2,plan,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,plan,3,was,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,was,4,cheaper,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,cheaper,5,while,",",",",region_break,1,comma_with_lull,0.480000,0.480000,0.480000,0.480000,0,1
5,while,6,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,the,7,new,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,new,8,plan,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,plan,9,is,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,is,10,faster,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,faster,11,and,,,none,0,none,0.040000,0.040000,0.040000,0.040000,1,1
11,and,12,much,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,much,13,safer,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
