start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
1.070000,1.120000,DH,DH,the,1.0,0,0,-1,DH,0,mfa_textgrid_phone
1.120000,1.240000,IY0,IY0,the,1.0,0,0,-1,IY0,1,mfa_textgrid_phone
1.240000,1.350000,OW1,OW1,old,1.0,1,0,-1,OW1,0,mfa_textgrid_phone
1.350000,1.390000,L,L,old,1.0,1,0,-1,L,1,mfa_textgrid_phone
1.390000,1.480000,D,D,old,1.0,1,0,-1,D,2,mfa_textgrid_phone
1.480000,1.580000,P,P,plan,1.0,2,0,-1,P,0,mfa_textgrid_phone
1.580000,1.630000,L,L,plan,1.0,2,0,-1,L,1,mfa_textgrid_phone
1.630000,1.780000,AE1,AE1,plan,1.0,2,0,-1,AE1,2,mfa_textgrid_phone
1.780000,1.860000,N,N,plan,1.0,2,0,-1,N,3,mfa_textgrid_phone
1.860000,1.900000,W,W,was,1.0,3,0,-1,W,0,mfa_textgrid_phone
1.900000,1.940000,AH0,AH0,was,1.0,3,0,-1,AH0,1,mfa_textgrid_phone
1.940000,2.030000,Z,Z,was,1.0,3,0,-1,Z,2,mfa_textgrid_phone
2.030000,2.160000,CH,CH,cheaper,1.0,4,0,-1,CH,0,mfa_textgrid_phone
2.160000,2.240000,IY1,IY1,cheaper,1.0,4,0,-1,IY1,1,mfa_textgrid_phone
2.240000,2.310000,P,P,cheaper,1.0,4,0,-1,P,2,mfa_textgrid_phone
2.310000,2.560000,ER0,ER0,cheaper,1.0,4,0,-1,ER0,3,mfa_textgrid_phone
3.040000,3.070000,HH,HH,while,1.0,5,1,-1,HH,0,mfa_textgrid_phone
3.070000,3.120000,W,W,while,1.0,5,1,-1,W,1,mfa_textgrid_phone
3.120000,3.190000,AY1,AY1,while,1.0,5,1,-1,AY1,2,mfa_textgrid_phone
3.190000,3.250000,L,L,while,1.0,5,1,-1,L,3,mfa_textgrid_phone
3.250000,3.300000,DH,DH,the,1.0,6,1,-1,DH,0,mfa_textgrid_phone
3.300000,3.350000,AH0,AH0,the,1.0,6,1,-1,AH0,1,mfa_textgrid_phone
3.350000,3.450000,N,N,new,1.0,7,1,-1,N,0,mfa_textgrid_phone
3.450000,3.510000,Y,Y,new,1.0,7,1,-1,Y,1,mfa_textgrid_phone
3.510000,3.600000,UW1,UW1,new,1.0,7,1,-1,UW1,2,mfa_textgrid_phone
3.600000,3.730000,P,P,plan,1.0,8,1,-1,P,0,mfa_textgrid_phone
3.730000,3.760000,L,L,plan,1.0,8,1,-1,L,1,mfa_textgrid_phone
3.760000,3.880000,AE1,AE1,plan,1.0,8,1,-1,AE1,2,mfa_textgrid_phone
3.880000,3.940000,N,N,plan,1.0,8,1,-1,N,3,mfa_textgrid_phone
3.940000,3.980000,IH1,IH1,is,1.0,9,1,-1,IH1,0,mfa_textgrid_phone
3.980000,4.090000,Z,Z,is,1.0,9,1,-1,Z,1,mfa_textgrid_phone
4.090000,4.160000,F,F,faster,1.0,10,1,-1,F,0,mfa_textgrid_phone
4.160000,4.310000,AE1,AE1,faster,1.0,10,1,-1,AE1,1,mfa_textgrid_phone
4.310000,4.430000,S,S,faster,1.0,10,1,-1,S,2,mfa_textgrid_phone
4.430000,4.490000,T,T,faster,1.0,10,1,-1,T,3,mfa_textgrid_phone
4.490000,4.710000,ER0,ER0,faster,1.0,10,1,-1,ER0,4,mfa_textgrid_phone
4.750000,4.820000,AE1,AE1,and,1.0,11,1,-1,AE1,0,mfa_textgrid_phone
4.820000,4.850000,N,N,and,1.0,11,1,-1,N,1,mfa_textgrid_phone
4.850000,4.940000,D,D,and,1.0,11,1,-1,D,2,mfa_textgrid_phone
4.940000,4.970000,M,M,much,1.0,12,1,-1,M,0,mfa_textgrid_phone
4.970000,5.050000,AH1,AH1,much,1.0,12,1,-1,AH1,1,mfa_textgrid_phone
5.050000,5.150000,CH,CH,much,1.0,12,1,-1,CH,2,mfa_textgrid_phone
5.150000,5.270000,S,S,safer,1.0,13,1,-1,S,0,mfa_textgrid_phone
5.270000,5.370000,EY1,EY1,safer,1.0,13,1,-1,EY1,1,mfa_textgrid_phone
5.370000,5.480000,F,F,safer,1.0,13,1,-1,F,2,mfa_textgrid_phone
5.480000,5.720000,ER0,ER0,safer,1.0,13,1,-1,ER0,3,mfa_textgrid_phone
