word_index,word,start,end,speech_region_index,sentence_index
0,he,0.370000,0.470000,0,-1
1,whispered,0.470000,0.830000,0,-1
2,the,0.830000,0.890000,0,-1
3,first,0.890000,1.230000,0,-1
4,line,1.230000,1.680000,0,-1
5,then,1.950000,2.130000,1,-1
6,repeated,2.130000,2.540000,1,-1
7,the,2.540000,2.610000,1,-1
8,final,2.610000,3.020000,1,-1
9,words,3.020000,3.430000,1,-1
10,in,3.430000,3.510000,1,-1
11,a,3.510000,3.560000,1,-1
12,strong,3.560000,4.070000,1,-1
13,clear,4.070000,4.370000,1,-1
14,voice,4.370000,4.830000,1,-1
