word_index,word,start,end,speech_region_index,sentence_index
0,he,0.510000,0.670000,0,-1
1,whispered,0.670000,1.100000,0,-1
2,the,1.100000,1.180000,0,-1
3,first,1.180000,1.560000,0,-1
4,line,1.560000,1.990000,0,-1
5,then,2.370000,2.560000,1,-1
6,repeated,2.560000,3.020000,1,-1
7,the,3.020000,3.100000,1,-1
8,final,3.100000,3.520000,1,-1
9,words,3.520000,3.900000,1,-1
10,in,3.900000,3.990000,1,-1
11,a,3.990000,4.050000,1,-1
12,strong,4.050000,4.540000,1,-1
13,clear,4.540000,4.860000,1,-1
14,voice,4.860000,5.410000,1,-1
