word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,he,1,whispered,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,whispered,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,first,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,first,4,line,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,line,5,then,",",",",region_break,1,comma_with_lull,0.250000,0.250000,0.250000,0.250000,0,1
5,then,6,repeated,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,repeated,7,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,the,8,final,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,final,9,words,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,words,10,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,in,11,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,a,12,strong,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,strong,13,clear,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,clear,14,voice,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
