word_index,word,start,end,speech_region_index,sentence_index
0,he,0.280000,0.430000,0,-1
1,whispered,0.430000,0.850000,0,-1
2,the,0.850000,0.920000,0,-1
3,first,0.920000,1.240000,0,-1
4,line,1.240000,1.670000,0,-1
5,then,1.920000,2.160000,1,-1
6,repeated,2.160000,2.590000,1,-1
7,the,2.590000,2.650000,1,-1
8,final,2.650000,3.060000,1,-1
9,words,3.060000,3.460000,1,-1
10,in,3.460000,3.550000,1,-1
11,a,3.550000,3.600000,1,-1
12,strong,3.600000,4.060000,1,-1
13,clear,4.060000,4.360000,1,-1
14,voice,4.360000,4.820000,1,-1
