start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.550000,0.620000,W,we,1.0,0,0,0,-1,mfa_textgrid_phone
0.620000,0.690000,IY1,we,1.0,0,0,1,-1,mfa_textgrid_phone
0.690000,0.780000,K,could,1.0,1,0,0,-1,mfa_textgrid_phone
0.780000,0.820000,UH1,could,1.0,1,0,1,-1,mfa_textgrid_phone
0.820000,0.890000,D,could,1.0,1,0,2,-1,mfa_textgrid_phone
0.890000,1.000000,S,stay,1.0,2,0,0,-1,mfa_textgrid_phone
1.000000,1.070000,T,stay,1.0,2,0,1,-1,mfa_textgrid_phone
1.070000,1.370000,EY1,stay,1.0,2,0,2,-1,mfa_textgrid_phone
1.370000,1.440000,AE1,and,1.0,3,0,0,-1,mfa_textgrid_phone
1.440000,1.490000,N,and,1.0,3,0,1,-1,mfa_textgrid_phone
1.490000,1.550000,D,and,1.0,3,0,2,-1,mfa_textgrid_phone
1.550000,1.640000,F,finish,1.0,4,0,0,-1,mfa_textgrid_phone
1.640000,1.710000,IH1,finish,1.0,4,0,1,-1,mfa_textgrid_phone
1.710000,1.750000,N,finish,1.0,4,0,2,-1,mfa_textgrid_phone
1.750000,1.850000,IH0,finish,1.0,4,0,3,-1,mfa_textgrid_phone
1.850000,2.110000,SH,finish,1.0,4,0,4,-1,mfa_textgrid_phone
3.010000,3.090000,AO1,or,1.0,5,1,0,-1,mfa_textgrid_phone
3.090000,3.170000,R,or,1.0,5,1,1,-1,mfa_textgrid_phone
3.170000,3.250000,W,we,1.0,6,1,0,-1,mfa_textgrid_phone
3.250000,3.320000,IY1,we,1.0,6,1,1,-1,mfa_textgrid_phone
3.320000,3.410000,K,could,1.0,7,1,0,-1,mfa_textgrid_phone
3.410000,3.460000,UH1,could,1.0,7,1,1,-1,mfa_textgrid_phone
3.460000,3.520000,D,could,1.0,7,1,2,-1,mfa_textgrid_phone
3.520000,3.610000,L,leave,1.0,8,1,0,-1,mfa_textgrid_phone
3.610000,3.780000,IY1,leave,1.0,8,1,1,-1,mfa_textgrid_phone
3.780000,3.880000,V,leave,1.0,8,1,2,-1,mfa_textgrid_phone
3.880000,3.940000,N,now,1.0,9,1,0,-1,mfa_textgrid_phone
3.940000,4.240000,AW1,now,1.0,9,1,1,-1,mfa_textgrid_phone
4.240000,4.330000,AH0,and,1.0,10,1,0,-1,mfa_textgrid_phone
4.330000,4.360000,N,and,1.0,10,1,1,-1,mfa_textgrid_phone
4.360000,4.420000,D,and,1.0,10,1,2,-1,mfa_textgrid_phone
4.420000,4.460000,R,return,1.0,11,1,0,-1,mfa_textgrid_phone
4.460000,4.510000,IY0,return,1.0,11,1,1,-1,mfa_textgrid_phone
4.510000,4.640000,T,return,1.0,11,1,2,-1,mfa_textgrid_phone
4.640000,4.790000,ER1,return,1.0,11,1,3,-1,mfa_textgrid_phone
4.790000,4.850000,N,return,1.0,11,1,4,-1,mfa_textgrid_phone
4.850000,4.920000,T,tomorrow,1.0,12,1,0,-1,mfa_textgrid_phone
4.920000,4.970000,AH0,tomorrow,1.0,12,1,1,-1,mfa_textgrid_phone
4.970000,5.060000,M,tomorrow,1.0,12,1,2,-1,mfa_textgrid_phone
5.060000,5.150000,AA1,tomorrow,1.0,12,1,3,-1,mfa_textgrid_phone
5.150000,5.290000,R,tomorrow,1.0,12,1,4,-1,mfa_textgrid_phone
5.290000,5.390000,OW2,tomorrow,1.0,12,1,5,-1,mfa_textgrid_phone
