word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,we,1,could,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,could,2,stay,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,stay,3,and,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,and,4,finish,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,finish,5,or,",",",",region_break,1,comma_with_lull,0.290000,0.290000,0.290000,0.290000,0,1
5,or,6,we,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,we,7,could,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,could,8,leave,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,leave,9,now,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,now,10,and,,,none,0,none,0.210000,0.210000,0.210000,0.210000,1,1
10,and,11,return,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,return,12,tomorrow,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
