start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.430000,0.460000,DH,DH,the,1.0,0,0,-1,DH,0,mfa_textgrid_phone
0.460000,0.510000,AH0,AH0,the,1.0,0,0,-1,AH0,1,mfa_textgrid_phone
0.510000,0.630000,S,S,sign,1.0,1,0,-1,S,0,mfa_textgrid_phone
0.630000,0.820000,AY1,AY1,sign,1.0,1,0,-1,AY1,1,mfa_textgrid_phone
0.820000,0.880000,N,N,sign,1.0,1,0,-1,N,2,mfa_textgrid_phone
0.880000,0.980000,S,S,says,1.0,2,0,-1,S,0,mfa_textgrid_phone
0.980000,1.100000,EH1,EH1,says,1.0,2,0,-1,EH1,1,mfa_textgrid_phone
1.100000,1.170000,Z,Z,says,1.0,2,0,-1,Z,2,mfa_textgrid_phone
1.260000,1.410000,OW1,OW1,open,1.0,3,0,-1,OW1,0,mfa_textgrid_phone
1.410000,1.480000,P,P,open,1.0,3,0,-1,P,1,mfa_textgrid_phone
1.480000,1.570000,AH0,AH0,open,1.0,3,0,-1,AH0,2,mfa_textgrid_phone
1.570000,1.730000,N,N,open,1.0,3,0,-1,N,3,mfa_textgrid_phone
2.060000,2.160000,Y,Y,yet,1.0,4,1,-1,Y,0,mfa_textgrid_phone
2.160000,2.220000,EH1,EH1,yet,1.0,4,1,-1,EH1,1,mfa_textgrid_phone
2.220000,2.300000,T,T,yet,1.0,4,1,-1,T,2,mfa_textgrid_phone
2.350000,2.460000,EH1,EH1,every,1.0,5,1,-1,EH1,0,mfa_textgrid_phone
2.460000,2.540000,V,V,every,1.0,5,1,-1,V,1,mfa_textgrid_phone
2.540000,2.600000,R,R,every,1.0,5,1,-1,R,2,mfa_textgrid_phone
2.600000,2.670000,IY0,IY0,every,1.0,5,1,-1,IY0,3,mfa_textgrid_phone
2.670000,2.770000,L,L,light,1.0,6,1,-1,L,0,mfa_textgrid_phone
2.770000,2.910000,AY1,AY1,light,1.0,6,1,-1,AY1,1,mfa_textgrid_phone
2.910000,2.960000,T,T,light,1.0,6,1,-1,T,2,mfa_textgrid_phone
2.990000,3.060000,IH1,IH1,in,1.0,7,1,-1,IH1,0,mfa_textgrid_phone
3.060000,3.110000,N,N,in,1.0,7,1,-1,N,1,mfa_textgrid_phone
3.110000,3.150000,DH,DH,the,1.0,8,1,-1,DH,0,mfa_textgrid_phone
3.150000,3.190000,AH0,AH0,the,1.0,8,1,-1,AH0,1,mfa_textgrid_phone
3.190000,3.340000,SH,SH,shop,1.0,9,1,-1,SH,0,mfa_textgrid_phone
3.340000,3.500000,AA1,AA1,shop,1.0,9,1,-1,AA1,1,mfa_textgrid_phone
3.500000,3.620000,P,P,shop,1.0,9,1,-1,P,2,mfa_textgrid_phone
3.620000,3.690000,IH1,IH1,is,1.0,10,1,-1,IH1,0,mfa_textgrid_phone
3.690000,3.780000,Z,Z,is,1.0,10,1,-1,Z,1,mfa_textgrid_phone
3.780000,3.870000,D,D,dark,1.0,11,1,-1,D,0,mfa_textgrid_phone
3.870000,3.950000,AA1,AA1,dark,1.0,11,1,-1,AA1,1,mfa_textgrid_phone
3.950000,4.070000,R,R,dark,1.0,11,1,-1,R,2,mfa_textgrid_phone
4.070000,4.210000,K,K,dark,1.0,11,1,-1,K,3,mfa_textgrid_phone
