start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.430000,0.500000,P,please,1.0,0,0,0,-1,mfa_textgrid_phone
0.500000,0.570000,L,please,1.0,0,0,1,-1,mfa_textgrid_phone
0.570000,0.830000,IY1,please,1.0,0,0,2,-1,mfa_textgrid_phone
0.830000,0.960000,Z,please,1.0,0,0,3,-1,mfa_textgrid_phone
1.040000,1.110000,P,please,1.0,1,0,0,-1,mfa_textgrid_phone
1.110000,1.180000,L,please,1.0,1,0,1,-1,mfa_textgrid_phone
1.180000,1.430000,IY1,please,1.0,1,0,2,-1,mfa_textgrid_phone
1.430000,1.530000,Z,please,1.0,1,0,3,-1,mfa_textgrid_phone
1.530000,1.600000,G,give,1.0,2,0,0,-1,mfa_textgrid_phone
1.600000,1.680000,IH1,give,1.0,2,0,1,-1,mfa_textgrid_phone
1.680000,1.720000,V,give,1.0,2,0,2,-1,mfa_textgrid_phone
1.720000,1.780000,M,me,1.0,3,0,0,-1,mfa_textgrid_phone
1.780000,1.860000,IY1,me,1.0,3,0,1,-1,mfa_textgrid_phone
1.860000,2.000000,W,one,1.0,4,0,0,-1,mfa_textgrid_phone
2.000000,2.090000,AH1,one,1.0,4,0,1,-1,mfa_textgrid_phone
2.090000,2.190000,N,one,1.0,4,0,2,-1,mfa_textgrid_phone
2.190000,2.290000,K,quiet,1.0,5,0,0,-1,mfa_textgrid_phone
2.290000,2.330000,W,quiet,1.0,5,0,1,-1,mfa_textgrid_phone
2.330000,2.430000,AY1,quiet,1.0,5,0,2,-1,mfa_textgrid_phone
2.430000,2.530000,AH0,quiet,1.0,5,0,3,-1,mfa_textgrid_phone
2.530000,2.560000,T,quiet,1.0,5,0,4,-1,mfa_textgrid_phone
2.560000,2.640000,M,minute,1.0,6,0,0,-1,mfa_textgrid_phone
2.640000,2.690000,IH1,minute,1.0,6,0,1,-1,mfa_textgrid_phone
2.690000,2.720000,N,minute,1.0,6,0,2,-1,mfa_textgrid_phone
2.720000,2.810000,AH0,minute,1.0,6,0,3,-1,mfa_textgrid_phone
2.810000,2.890000,T,minute,1.0,6,0,4,-1,mfa_textgrid_phone
