start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.330000,0.380000,DH,DH,this,1.0,0,0,-1,DH,0,mfa_textgrid_phone
0.380000,0.430000,IH1,IH1,this,1.0,0,0,-1,IH1,1,mfa_textgrid_phone
0.430000,0.510000,S,S,this,1.0,0,0,-1,S,2,mfa_textgrid_phone
0.510000,0.560000,IH0,IH0,is,1.0,1,0,-1,IH0,0,mfa_textgrid_phone
0.560000,0.630000,Z,Z,is,1.0,1,0,-1,Z,1,mfa_textgrid_phone
0.630000,0.680000,DH,DH,the,1.0,2,0,-1,DH,0,mfa_textgrid_phone
0.680000,0.720000,AH0,AH0,the,1.0,2,0,-1,AH0,1,mfa_textgrid_phone
0.720000,0.860000,B,B,best,1.0,3,0,-1,B,0,mfa_textgrid_phone
0.860000,0.960000,EH1,EH1,best,1.0,3,0,-1,EH1,1,mfa_textgrid_phone
0.960000,1.060000,S,S,best,1.0,3,0,-1,S,2,mfa_textgrid_phone
1.060000,1.110000,T,T,best,1.0,3,0,-1,T,3,mfa_textgrid_phone
1.110000,1.160000,N,N,news,1.0,4,0,-1,N,0,mfa_textgrid_phone
1.160000,1.300000,UW1,UW1,news,1.0,4,0,-1,UW1,1,mfa_textgrid_phone
1.300000,1.360000,Z,Z,news,1.0,4,0,-1,Z,2,mfa_textgrid_phone
1.360000,1.420000,W,W,we,1.0,5,0,-1,W,0,mfa_textgrid_phone
1.420000,1.480000,IY1,IY1,we,1.0,5,0,-1,IY1,1,mfa_textgrid_phone
1.480000,1.520000,HH,HH,have,1.0,6,0,-1,HH,0,mfa_textgrid_phone
1.520000,1.550000,AE1,AE1,have,1.0,6,0,-1,AE1,1,mfa_textgrid_phone
1.550000,1.600000,V,V,have,1.0,6,0,-1,V,2,mfa_textgrid_phone
1.600000,1.700000,HH,HH,heard,1.0,7,0,-1,HH,0,mfa_textgrid_phone
1.700000,1.830000,ER1,ER1,heard,1.0,7,0,-1,ER1,1,mfa_textgrid_phone
1.830000,1.890000,D,D,heard,1.0,7,0,-1,D,2,mfa_textgrid_phone
1.990000,2.140000,AO1,AO1,all,1.0,8,0,-1,AO1,0,mfa_textgrid_phone
2.140000,2.210000,L,L,all,1.0,8,0,-1,L,1,mfa_textgrid_phone
2.210000,2.300000,Y,Y,year,1.0,9,0,-1,Y,0,mfa_textgrid_phone
2.300000,2.380000,IH1,IH1,year,1.0,9,0,-1,IH1,1,mfa_textgrid_phone
2.380000,2.536875,R,R,year,1.0,9,0,-1,R,2,mfa_textgrid_phone
