start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.450000,0.610000,N,never,1.0,0,0,0,-1,mfa_textgrid_phone
0.610000,0.730000,EH1,never,1.0,0,0,1,-1,mfa_textgrid_phone
0.730000,0.790000,V,never,1.0,0,0,2,-1,mfa_textgrid_phone
0.790000,0.890000,ER0,never,1.0,0,0,3,-1,mfa_textgrid_phone
0.890000,1.000000,F,forget,1.0,1,0,0,-1,mfa_textgrid_phone
1.000000,1.080000,ER0,forget,1.0,1,0,1,-1,mfa_textgrid_phone
1.080000,1.170000,G,forget,1.0,1,0,2,-1,mfa_textgrid_phone
1.170000,1.380000,EH1,forget,1.0,1,0,3,-1,mfa_textgrid_phone
1.380000,1.500000,T,forget,1.0,1,0,4,-1,mfa_textgrid_phone
1.680000,1.820000,HH,how,1.0,2,0,0,-1,mfa_textgrid_phone
1.820000,1.940000,AW1,how,1.0,2,0,1,-1,mfa_textgrid_phone
1.940000,2.040000,M,much,1.0,3,0,0,-1,mfa_textgrid_phone
2.040000,2.150000,AH1,much,1.0,3,0,1,-1,mfa_textgrid_phone
2.150000,2.320000,CH,much,1.0,3,0,2,-1,mfa_textgrid_phone
2.320000,2.360000,Y,your,1.0,4,0,0,-1,mfa_textgrid_phone
2.360000,2.420000,UH1,your,1.0,4,0,1,-1,mfa_textgrid_phone
2.420000,2.460000,R,your,1.0,4,0,2,-1,mfa_textgrid_phone
2.460000,2.590000,HH,help,1.0,5,0,0,-1,mfa_textgrid_phone
2.590000,2.640000,EH1,help,1.0,5,0,1,-1,mfa_textgrid_phone
2.640000,2.750000,L,help,1.0,5,0,2,-1,mfa_textgrid_phone
2.750000,2.860000,P,help,1.0,5,0,3,-1,mfa_textgrid_phone
2.990000,3.070000,M,mattered,1.0,6,0,0,-1,mfa_textgrid_phone
3.070000,3.210000,AE1,mattered,1.0,6,0,1,-1,mfa_textgrid_phone
3.210000,3.260000,T,mattered,1.0,6,0,2,-1,mfa_textgrid_phone
3.260000,3.410000,ER0,mattered,1.0,6,0,3,-1,mfa_textgrid_phone
3.410000,3.470000,D,mattered,1.0,6,0,4,-1,mfa_textgrid_phone
