start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.540000,0.680000,F,F,fold,1.0,0,0,-1,F,0,mfa_textgrid_phone
0.680000,0.740000,OW1,OW1,fold,1.0,0,0,-1,OW1,1,mfa_textgrid_phone
0.740000,0.860000,L,L,fold,1.0,0,0,-1,L,2,mfa_textgrid_phone
0.860000,0.910000,D,D,fold,1.0,0,0,-1,D,3,mfa_textgrid_phone
0.910000,0.940000,DH,DH,the,1.0,1,0,-1,DH,0,mfa_textgrid_phone
0.940000,0.990000,AH0,AH0,the,1.0,1,0,-1,AH0,1,mfa_textgrid_phone
0.990000,1.070000,P,P,paper,1.0,2,0,-1,P,0,mfa_textgrid_phone
1.070000,1.200000,EY1,EY1,paper,1.0,2,0,-1,EY1,1,mfa_textgrid_phone
1.200000,1.260000,P,P,paper,1.0,2,0,-1,P,2,mfa_textgrid_phone
1.260000,1.370000,ER0,ER0,paper,1.0,2,0,-1,ER0,3,mfa_textgrid_phone
1.370000,1.400000,IH0,IH0,in,1.0,3,0,-1,IH0,0,mfa_textgrid_phone
1.400000,1.440000,N,N,in,1.0,3,0,-1,N,1,mfa_textgrid_phone
1.440000,1.510000,HH,HH,half,1.0,4,0,-1,HH,0,mfa_textgrid_phone
1.510000,1.740000,AE1,AE1,half,1.0,4,0,-1,AE1,1,mfa_textgrid_phone
1.740000,1.970000,F,F,half,1.0,4,0,-1,F,2,mfa_textgrid_phone
2.260000,2.340000,P,P,press,1.0,5,1,-1,P,0,mfa_textgrid_phone
2.340000,2.390000,R,R,press,1.0,5,1,-1,R,1,mfa_textgrid_phone
2.390000,2.460000,EH1,EH1,press,1.0,5,1,-1,EH1,2,mfa_textgrid_phone
2.460000,2.570000,S,S,press,1.0,5,1,-1,S,3,mfa_textgrid_phone
2.570000,2.630000,DH,DH,the,1.0,6,1,-1,DH,0,mfa_textgrid_phone
2.630000,2.760000,IY0,IY0,the,1.0,6,1,-1,IY0,1,mfa_textgrid_phone
2.760000,2.860000,EH1,EH1,edge,1.0,7,1,-1,EH1,0,mfa_textgrid_phone
2.860000,2.980000,JH,JH,edge,1.0,7,1,-1,JH,1,mfa_textgrid_phone
2.980000,3.130000,F,F,firmly,1.0,8,1,-1,F,0,mfa_textgrid_phone
3.130000,3.290000,ER1,ER1,firmly,1.0,8,1,-1,ER1,1,mfa_textgrid_phone
3.290000,3.390000,M,M,firmly,1.0,8,1,-1,M,2,mfa_textgrid_phone
3.390000,3.450000,L,L,firmly,1.0,8,1,-1,L,3,mfa_textgrid_phone
3.450000,3.640000,IY0,IY0,firmly,1.0,8,1,-1,IY0,4,mfa_textgrid_phone
3.850000,3.920000,AE1,AE1,and,1.0,9,2,-1,AE1,0,mfa_textgrid_phone
3.920000,3.960000,N,N,and,1.0,9,2,-1,N,1,mfa_textgrid_phone
3.960000,4.010000,D,D,and,1.0,9,2,-1,D,2,mfa_textgrid_phone
4.080000,4.210000,OW1,OW1,open,1.0,10,2,-1,OW1,0,mfa_textgrid_phone
4.210000,4.280000,P,P,open,1.0,10,2,-1,P,1,mfa_textgrid_phone
4.280000,4.330000,AH0,AH0,open,1.0,10,2,-1,AH0,2,mfa_textgrid_phone
4.330000,4.370000,N,N,open,1.0,10,2,-1,N,3,mfa_textgrid_phone
4.370000,4.440000,IH1,IH1,it,1.0,11,2,-1,IH1,0,mfa_textgrid_phone
4.440000,4.480000,T,T,it,1.0,11,2,-1,T,1,mfa_textgrid_phone
4.480000,4.520000,AH0,AH0,again,1.0,12,2,-1,AH0,0,mfa_textgrid_phone
4.520000,4.610000,G,G,again,1.0,12,2,-1,G,1,mfa_textgrid_phone
4.610000,4.780000,EH1,EH1,again,1.0,12,2,-1,EH1,2,mfa_textgrid_phone
4.780000,4.880000,N,N,again,1.0,12,2,-1,N,3,mfa_textgrid_phone
