word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,fold,1,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,the,2,paper,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,paper,3,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,in,4,half,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,half,5,press,",",",",region_break,1,comma_with_lull,0.320000,0.320000,0.320000,0.320000,0,1
5,press,6,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,the,7,edge,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,edge,8,firmly,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
8,firmly,9,and,",",",",region_break,1,comma_with_lull,0.300000,0.300000,0.300000,0.300000,1,2
9,and,10,open,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,open,11,it,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
11,it,12,again,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
