word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,walk,1,past,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,past,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,bakery,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,bakery,4,cross,",",",",soft_pause,0,none,0.090000,0.090000,0.090000,0.090000,0,0
4,cross,5,at,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,at,6,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,the,7,light,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,light,8,and,",",",",region_break,1,comma_with_lull,0.310000,0.310000,0.310000,0.310000,0,1
8,and,9,take,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
9,take,10,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
10,the,11,second,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
11,second,12,street,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,street,13,on,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,on,14,your,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
14,your,15,right,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
