word_index,word,start,end,speech_region_index,sentence_index
0,walk,0.360000,0.710000,0,-1
1,past,0.710000,1.150000,0,-1
2,the,1.150000,1.230000,0,-1
3,bakery,1.230000,1.880000,0,-1
4,cross,1.970000,2.430000,0,-1
5,at,2.430000,2.530000,0,-1
6,the,2.530000,2.630000,0,-1
7,light,2.630000,3.030000,0,-1
8,and,3.340000,3.460000,1,-1
9,take,3.460000,3.680000,1,-1
10,the,3.680000,3.760000,1,-1
11,second,3.760000,4.200000,1,-1
12,street,4.200000,4.480000,1,-1
13,on,4.480000,4.670000,1,-1
14,your,4.670000,4.790000,1,-1
15,right,4.790000,5.220000,1,-1
