word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,mix,1,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,the,2,flour,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,flour,3,and,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,and,4,salt,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,salt,5,before,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,before,6,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,you,7,slowly,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,slowly,8,add,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,add,9,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,the,10,water,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
