start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.040000,0.180000,M,mix,1.0,0,0,0,-1,mfa_textgrid_phone
0.180000,0.260000,IH1,mix,1.0,0,0,1,-1,mfa_textgrid_phone
0.260000,0.350000,K,mix,1.0,0,0,2,-1,mfa_textgrid_phone
0.350000,0.430000,S,mix,1.0,0,0,3,-1,mfa_textgrid_phone
0.430000,0.500000,DH,the,1.0,1,0,0,-1,mfa_textgrid_phone
0.500000,0.550000,AH0,the,1.0,1,0,1,-1,mfa_textgrid_phone
0.550000,0.690000,F,flour,1.0,2,0,0,-1,mfa_textgrid_phone
0.690000,0.740000,L,flour,1.0,2,0,1,-1,mfa_textgrid_phone
0.740000,0.930000,AW1,flour,1.0,2,0,2,-1,mfa_textgrid_phone
0.930000,1.140000,R,flour,1.0,2,0,3,-1,mfa_textgrid_phone
1.170000,1.220000,AE1,and,1.0,3,0,0,-1,mfa_textgrid_phone
1.220000,1.290000,N,and,1.0,3,0,1,-1,mfa_textgrid_phone
1.290000,1.350000,D,and,1.0,3,0,2,-1,mfa_textgrid_phone
1.350000,1.500000,S,salt,1.0,4,0,0,-1,mfa_textgrid_phone
1.500000,1.610000,AA1,salt,1.0,4,0,1,-1,mfa_textgrid_phone
1.610000,1.700000,L,salt,1.0,4,0,2,-1,mfa_textgrid_phone
1.700000,1.830000,T,salt,1.0,4,0,3,-1,mfa_textgrid_phone
1.830000,1.870000,B,before,1.0,5,0,0,-1,mfa_textgrid_phone
1.870000,1.920000,IH0,before,1.0,5,0,1,-1,mfa_textgrid_phone
1.920000,2.060000,F,before,1.0,5,0,2,-1,mfa_textgrid_phone
2.060000,2.100000,AO1,before,1.0,5,0,3,-1,mfa_textgrid_phone
2.100000,2.160000,R,before,1.0,5,0,4,-1,mfa_textgrid_phone
2.160000,2.300000,Y,you,1.0,6,0,0,-1,mfa_textgrid_phone
2.300000,2.340000,UW1,you,1.0,6,0,1,-1,mfa_textgrid_phone
2.340000,2.570000,S,slowly,1.0,7,0,0,-1,mfa_textgrid_phone
2.570000,2.640000,L,slowly,1.0,7,0,1,-1,mfa_textgrid_phone
2.640000,2.780000,OW1,slowly,1.0,7,0,2,-1,mfa_textgrid_phone
2.780000,2.850000,L,slowly,1.0,7,0,3,-1,mfa_textgrid_phone
2.850000,3.000000,IY0,slowly,1.0,7,0,4,-1,mfa_textgrid_phone
3.000000,3.240000,AE1,add,1.0,8,0,0,-1,mfa_textgrid_phone
3.240000,3.330000,D,add,1.0,8,0,1,-1,mfa_textgrid_phone
3.330000,3.360000,DH,the,1.0,9,0,0,-1,mfa_textgrid_phone
3.360000,3.410000,AH0,the,1.0,9,0,1,-1,mfa_textgrid_phone
3.410000,3.530000,W,water,1.0,10,0,0,-1,mfa_textgrid_phone
3.530000,3.670000,AA1,water,1.0,10,0,1,-1,mfa_textgrid_phone
3.670000,3.710000,T,water,1.0,10,0,2,-1,mfa_textgrid_phone
3.710000,3.930000,ER0,water,1.0,10,0,3,-1,mfa_textgrid_phone
