start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.500000,0.600000,M,M,mix,1.0,0,0,-1,M,0,mfa_textgrid_phone
0.600000,0.650000,IH1,IH1,mix,1.0,0,0,-1,IH1,1,mfa_textgrid_phone
0.650000,0.700000,K,K,mix,1.0,0,0,-1,K,2,mfa_textgrid_phone
0.700000,0.760000,S,S,mix,1.0,0,0,-1,S,3,mfa_textgrid_phone
0.760000,0.820000,DH,DH,the,1.0,1,0,-1,DH,0,mfa_textgrid_phone
0.820000,0.860000,AH1,AH1,the,1.0,1,0,-1,AH1,1,mfa_textgrid_phone
0.860000,0.970000,F,F,flour,1.0,2,0,-1,F,0,mfa_textgrid_phone
0.970000,1.020000,L,L,flour,1.0,2,0,-1,L,1,mfa_textgrid_phone
1.020000,1.180000,AW1,AW1,flour,1.0,2,0,-1,AW1,2,mfa_textgrid_phone
1.180000,1.250000,ER0,ER0,flour,1.0,2,0,-1,ER0,3,mfa_textgrid_phone
1.250000,1.310000,AH0,AH0,and,1.0,3,0,-1,AH0,0,mfa_textgrid_phone
1.310000,1.340000,N,N,and,1.0,3,0,-1,N,1,mfa_textgrid_phone
1.340000,1.390000,D,D,and,1.0,3,0,-1,D,2,mfa_textgrid_phone
1.390000,1.490000,S,S,salt,1.0,4,0,-1,S,0,mfa_textgrid_phone
1.490000,1.590000,AA1,AA1,salt,1.0,4,0,-1,AA1,1,mfa_textgrid_phone
1.590000,1.670000,L,L,salt,1.0,4,0,-1,L,2,mfa_textgrid_phone
1.670000,1.740000,T,T,salt,1.0,4,0,-1,T,3,mfa_textgrid_phone
1.740000,1.770000,B,B,before,1.0,5,0,-1,B,0,mfa_textgrid_phone
1.770000,1.820000,IH0,IH0,before,1.0,5,0,-1,IH0,1,mfa_textgrid_phone
1.820000,1.900000,F,F,before,1.0,5,0,-1,F,2,mfa_textgrid_phone
1.900000,1.940000,AO1,AO1,before,1.0,5,0,-1,AO1,3,mfa_textgrid_phone
1.940000,1.980000,R,R,before,1.0,5,0,-1,R,4,mfa_textgrid_phone
1.980000,2.040000,Y,Y,you,1.0,6,0,-1,Y,0,mfa_textgrid_phone
2.040000,2.080000,UW1,UW1,you,1.0,6,0,-1,UW1,1,mfa_textgrid_phone
2.080000,2.230000,S,S,slowly,1.0,7,0,-1,S,0,mfa_textgrid_phone
2.230000,2.280000,L,L,slowly,1.0,7,0,-1,L,1,mfa_textgrid_phone
2.280000,2.370000,OW1,OW1,slowly,1.0,7,0,-1,OW1,2,mfa_textgrid_phone
2.370000,2.450000,L,L,slowly,1.0,7,0,-1,L,3,mfa_textgrid_phone
2.450000,2.530000,IY0,IY0,slowly,1.0,7,0,-1,IY0,4,mfa_textgrid_phone
2.530000,2.650000,AE1,AE1,add,1.0,8,0,-1,AE1,0,mfa_textgrid_phone
2.650000,2.710000,D,D,add,1.0,8,0,-1,D,1,mfa_textgrid_phone
2.710000,2.740000,DH,DH,the,1.0,9,0,-1,DH,0,mfa_textgrid_phone
2.740000,2.790000,AH1,AH1,the,1.0,9,0,-1,AH1,1,mfa_textgrid_phone
2.790000,2.890000,W,W,water,1.0,10,0,-1,W,0,mfa_textgrid_phone
2.890000,2.980000,AA1,AA1,water,1.0,10,0,-1,AA1,1,mfa_textgrid_phone
2.980000,3.020000,T,T,water,1.0,10,0,-1,T,2,mfa_textgrid_phone
3.020000,3.210000,ER0,ER0,water,1.0,10,0,-1,ER0,3,mfa_textgrid_phone
