start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.070000,0.190000,S,speak,1.0,0,0,0,-1,mfa_textgrid_phone
0.190000,0.260000,P,speak,1.0,0,0,1,-1,mfa_textgrid_phone
0.260000,0.360000,IY1,speak,1.0,0,0,2,-1,mfa_textgrid_phone
0.360000,0.440000,K,speak,1.0,0,0,3,-1,mfa_textgrid_phone
0.440000,0.520000,N,naturally,1.0,1,0,0,-1,mfa_textgrid_phone
0.520000,0.650000,AE1,naturally,1.0,1,0,1,-1,mfa_textgrid_phone
0.650000,0.790000,CH,naturally,1.0,1,0,2,-1,mfa_textgrid_phone
0.790000,0.830000,R,naturally,1.0,1,0,3,-1,mfa_textgrid_phone
0.830000,0.900000,AH0,naturally,1.0,1,0,4,-1,mfa_textgrid_phone
0.900000,0.970000,L,naturally,1.0,1,0,5,-1,mfa_textgrid_phone
0.970000,1.240000,IY0,naturally,1.0,1,0,6,-1,mfa_textgrid_phone
1.590000,1.690000,K,keep,1.0,2,1,0,-1,mfa_textgrid_phone
1.690000,1.760000,IY1,keep,1.0,2,1,1,-1,mfa_textgrid_phone
1.760000,1.820000,P,keep,1.0,2,1,2,-1,mfa_textgrid_phone
1.820000,1.870000,AH0,a,1.0,3,1,0,-1,mfa_textgrid_phone
1.870000,2.000000,S,steady,1.0,4,1,0,-1,mfa_textgrid_phone
2.000000,2.060000,T,steady,1.0,4,1,1,-1,mfa_textgrid_phone
2.060000,2.130000,EH1,steady,1.0,4,1,2,-1,mfa_textgrid_phone
2.130000,2.170000,D,steady,1.0,4,1,3,-1,mfa_textgrid_phone
2.170000,2.250000,IY0,steady,1.0,4,1,4,-1,mfa_textgrid_phone
2.250000,2.380000,P,pace,1.0,5,1,0,-1,mfa_textgrid_phone
2.380000,2.580000,EY1,pace,1.0,5,1,1,-1,mfa_textgrid_phone
2.580000,2.840000,S,pace,1.0,5,1,2,-1,mfa_textgrid_phone
3.190000,3.260000,AE1,and,1.0,6,2,0,-1,mfa_textgrid_phone
3.260000,3.300000,N,and,1.0,6,2,1,-1,mfa_textgrid_phone
3.300000,3.350000,D,and,1.0,6,2,2,-1,mfa_textgrid_phone
3.350000,3.450000,F,finish,1.0,7,2,0,-1,mfa_textgrid_phone
3.450000,3.500000,IH1,finish,1.0,7,2,1,-1,mfa_textgrid_phone
3.500000,3.530000,N,finish,1.0,7,2,2,-1,mfa_textgrid_phone
3.530000,3.600000,IH0,finish,1.0,7,2,3,-1,mfa_textgrid_phone
3.600000,3.710000,SH,finish,1.0,7,2,4,-1,mfa_textgrid_phone
3.740000,3.870000,IY1,each,1.0,8,2,0,-1,mfa_textgrid_phone
3.870000,3.970000,CH,each,1.0,8,2,1,-1,mfa_textgrid_phone
3.970000,4.070000,S,sentence,1.0,9,2,0,-1,mfa_textgrid_phone
4.070000,4.140000,EH1,sentence,1.0,9,2,1,-1,mfa_textgrid_phone
4.140000,4.190000,N,sentence,1.0,9,2,2,-1,mfa_textgrid_phone
4.190000,4.260000,T,sentence,1.0,9,2,3,-1,mfa_textgrid_phone
4.260000,4.310000,AH0,sentence,1.0,9,2,4,-1,mfa_textgrid_phone
4.310000,4.370000,N,sentence,1.0,9,2,5,-1,mfa_textgrid_phone
4.370000,4.450000,S,sentence,1.0,9,2,6,-1,mfa_textgrid_phone
4.450000,4.510000,K,completely,1.0,10,2,0,-1,mfa_textgrid_phone
4.510000,4.550000,AH0,completely,1.0,10,2,1,-1,mfa_textgrid_phone
4.550000,4.610000,M,completely,1.0,10,2,2,-1,mfa_textgrid_phone
4.610000,4.700000,P,completely,1.0,10,2,3,-1,mfa_textgrid_phone
4.700000,4.740000,L,completely,1.0,10,2,4,-1,mfa_textgrid_phone
4.740000,4.830000,IY1,completely,1.0,10,2,5,-1,mfa_textgrid_phone
4.830000,4.880000,T,completely,1.0,10,2,6,-1,mfa_textgrid_phone
4.880000,4.950000,L,completely,1.0,10,2,7,-1,mfa_textgrid_phone
4.950000,5.230000,IY0,completely,1.0,10,2,8,-1,mfa_textgrid_phone
