start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.810000,0.890000,IH1,IH1,if,1.0,0,0,-1,IH1,0,mfa_textgrid_phone
0.890000,0.970000,F,F,if,1.0,0,0,-1,F,1,mfa_textgrid_phone
0.970000,1.040000,Y,Y,you,1.0,1,0,-1,Y,0,mfa_textgrid_phone
1.040000,1.080000,UW1,UW1,you,1.0,1,0,-1,UW1,1,mfa_textgrid_phone
1.080000,1.230000,S,S,smell,1.0,2,0,-1,S,0,mfa_textgrid_phone
1.230000,1.280000,M,M,smell,1.0,2,0,-1,M,1,mfa_textgrid_phone
1.280000,1.360000,EH1,EH1,smell,1.0,2,0,-1,EH1,2,mfa_textgrid_phone
1.360000,1.420000,L,L,smell,1.0,2,0,-1,L,3,mfa_textgrid_phone
1.420000,1.570000,S,S,smoke,1.0,3,0,-1,S,0,mfa_textgrid_phone
1.570000,1.630000,M,M,smoke,1.0,3,0,-1,M,1,mfa_textgrid_phone
1.630000,1.820000,OW1,OW1,smoke,1.0,3,0,-1,OW1,2,mfa_textgrid_phone
1.820000,1.970000,K,K,smoke,1.0,3,0,-1,K,3,mfa_textgrid_phone
2.520000,2.630000,L,L,leave,1.0,4,1,-1,L,0,mfa_textgrid_phone
2.630000,2.760000,IY1,IY1,leave,1.0,4,1,-1,IY1,1,mfa_textgrid_phone
2.760000,2.840000,V,V,leave,1.0,4,1,-1,V,2,mfa_textgrid_phone
2.840000,2.880000,DH,DH,the,1.0,5,1,-1,DH,0,mfa_textgrid_phone
2.880000,2.930000,AH0,AH0,the,1.0,5,1,-1,AH0,1,mfa_textgrid_phone
2.930000,2.990000,B,B,building,1.0,6,1,-1,B,0,mfa_textgrid_phone
2.990000,3.070000,IH1,IH1,building,1.0,6,1,-1,IH1,1,mfa_textgrid_phone
3.070000,3.150000,L,L,building,1.0,6,1,-1,L,2,mfa_textgrid_phone
3.150000,3.210000,D,D,building,1.0,6,1,-1,D,3,mfa_textgrid_phone
3.210000,3.300000,IH0,IH0,building,1.0,6,1,-1,IH0,4,mfa_textgrid_phone
3.300000,3.400000,NG,NG,building,1.0,6,1,-1,NG,5,mfa_textgrid_phone
3.400000,3.470000,AE1,AE1,and,1.0,7,1,-1,AE1,0,mfa_textgrid_phone
3.470000,3.510000,N,N,and,1.0,7,1,-1,N,1,mfa_textgrid_phone
3.510000,3.570000,D,D,and,1.0,7,1,-1,D,2,mfa_textgrid_phone
3.570000,3.660000,K,K,call,1.0,8,1,-1,K,0,mfa_textgrid_phone
3.660000,3.760000,AA1,AA1,call,1.0,8,1,-1,AA1,1,mfa_textgrid_phone
3.760000,3.800000,L,L,call,1.0,8,1,-1,L,2,mfa_textgrid_phone
3.800000,3.890000,F,F,for,1.0,9,1,-1,F,0,mfa_textgrid_phone
3.890000,3.920000,R,R,for,1.0,9,1,-1,R,1,mfa_textgrid_phone
3.920000,3.950000,ER0,ER0,for,1.0,9,1,-1,ER0,2,mfa_textgrid_phone
3.950000,4.030000,HH,HH,help,1.0,10,1,-1,HH,0,mfa_textgrid_phone
4.030000,4.100000,EH1,EH1,help,1.0,10,1,-1,EH1,1,mfa_textgrid_phone
4.100000,4.190000,L,L,help,1.0,10,1,-1,L,2,mfa_textgrid_phone
4.190000,4.250000,P,P,help,1.0,10,1,-1,P,3,mfa_textgrid_phone
4.250000,4.330000,F,F,from,1.0,11,1,-1,F,0,mfa_textgrid_phone
4.330000,4.360000,R,R,from,1.0,11,1,-1,R,1,mfa_textgrid_phone
4.360000,4.390000,AH1,AH1,from,1.0,11,1,-1,AH1,2,mfa_textgrid_phone
4.390000,4.440000,M,M,from,1.0,11,1,-1,M,3,mfa_textgrid_phone
4.440000,4.490000,AH0,AH0,a,1.0,12,1,-1,AH0,0,mfa_textgrid_phone
4.490000,4.620000,S,S,safe,1.0,13,1,-1,S,0,mfa_textgrid_phone
4.620000,4.730000,EY1,EY1,safe,1.0,13,1,-1,EY1,1,mfa_textgrid_phone
4.730000,4.840000,F,F,safe,1.0,13,1,-1,F,2,mfa_textgrid_phone
4.840000,4.920000,P,P,place,1.0,14,1,-1,P,0,mfa_textgrid_phone
4.920000,4.960000,L,L,place,1.0,14,1,-1,L,1,mfa_textgrid_phone
4.960000,5.130000,EY1,EY1,place,1.0,14,1,-1,EY1,2,mfa_textgrid_phone
5.130000,5.350000,S,S,place,1.0,14,1,-1,S,3,mfa_textgrid_phone
