word_index,word,start,end,speech_region_index,sentence_index
0,if,0.440000,0.550000,0,-1
1,you,0.550000,0.610000,0,-1
2,smell,0.610000,0.920000,0,-1
3,smoke,0.920000,1.400000,0,-1
4,leave,1.620000,1.860000,1,-1
5,the,1.860000,1.940000,1,-1
6,building,1.940000,2.340000,1,-1
7,and,2.340000,2.470000,1,-1
8,call,2.470000,2.690000,1,-1
9,for,2.690000,2.820000,1,-1
10,help,2.820000,3.100000,1,-1
11,from,3.100000,3.250000,1,-1
12,a,3.250000,3.290000,1,-1
13,safe,3.290000,3.650000,1,-1
14,place,3.650000,4.070000,1,-1
