start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.540000,0.570000,B,before,1.0,0,0,0,-1,mfa_textgrid_phone
0.570000,0.640000,IH0,before,1.0,0,0,1,-1,mfa_textgrid_phone
0.640000,0.750000,F,before,1.0,0,0,2,-1,mfa_textgrid_phone
0.750000,0.810000,AO1,before,1.0,0,0,3,-1,mfa_textgrid_phone
0.810000,0.880000,R,before,1.0,0,0,4,-1,mfa_textgrid_phone
0.880000,0.980000,Y,you,1.0,1,0,0,-1,mfa_textgrid_phone
0.980000,1.040000,UW1,you,1.0,1,0,1,-1,mfa_textgrid_phone
1.040000,1.070000,M,make,1.0,2,0,0,-1,mfa_textgrid_phone
1.070000,1.170000,EY1,make,1.0,2,0,1,-1,mfa_textgrid_phone
1.170000,1.230000,K,make,1.0,2,0,2,-1,mfa_textgrid_phone
1.230000,1.280000,EY1,a,1.0,3,0,0,-1,mfa_textgrid_phone
1.280000,1.340000,D,decision,1.0,4,0,0,-1,mfa_textgrid_phone
1.340000,1.400000,IH0,decision,1.0,4,0,1,-1,mfa_textgrid_phone
1.400000,1.520000,S,decision,1.0,4,0,2,-1,mfa_textgrid_phone
1.520000,1.600000,IH1,decision,1.0,4,0,3,-1,mfa_textgrid_phone
1.600000,1.680000,ZH,decision,1.0,4,0,4,-1,mfa_textgrid_phone
1.680000,1.790000,AH0,decision,1.0,4,0,5,-1,mfa_textgrid_phone
1.790000,2.060000,N,decision,1.0,4,0,6,-1,mfa_textgrid_phone
2.120000,2.190000,K,compare,1.0,5,0,0,-1,mfa_textgrid_phone
2.190000,2.240000,AH0,compare,1.0,5,0,1,-1,mfa_textgrid_phone
2.240000,2.300000,M,compare,1.0,5,0,2,-1,mfa_textgrid_phone
2.300000,2.440000,P,compare,1.0,5,0,3,-1,mfa_textgrid_phone
2.440000,2.490000,EH1,compare,1.0,5,0,4,-1,mfa_textgrid_phone
2.490000,2.580000,R,compare,1.0,5,0,5,-1,mfa_textgrid_phone
2.580000,2.630000,DH,the,1.0,6,0,0,-1,mfa_textgrid_phone
2.630000,2.680000,AH0,the,1.0,6,0,1,-1,mfa_textgrid_phone
2.680000,2.790000,T,two,1.0,7,0,0,-1,mfa_textgrid_phone
2.790000,2.880000,UW1,two,1.0,7,0,1,-1,mfa_textgrid_phone
2.880000,2.970000,EH1,estimates,1.0,8,0,0,-1,mfa_textgrid_phone
2.970000,3.070000,S,estimates,1.0,8,0,1,-1,mfa_textgrid_phone
3.070000,3.120000,T,estimates,1.0,8,0,2,-1,mfa_textgrid_phone
3.120000,3.150000,AH0,estimates,1.0,8,0,3,-1,mfa_textgrid_phone
3.150000,3.210000,M,estimates,1.0,8,0,4,-1,mfa_textgrid_phone
3.210000,3.310000,EY2,estimates,1.0,8,0,5,-1,mfa_textgrid_phone
3.310000,3.380000,T,estimates,1.0,8,0,6,-1,mfa_textgrid_phone
3.380000,3.510000,S,estimates,1.0,8,0,7,-1,mfa_textgrid_phone
3.870000,4.040000,AE1,ask,1.0,9,1,0,-1,mfa_textgrid_phone
4.040000,4.150000,S,ask,1.0,9,1,1,-1,mfa_textgrid_phone
4.150000,4.240000,K,ask,1.0,9,1,2,-1,mfa_textgrid_phone
4.240000,4.270000,W,what,1.0,10,1,0,-1,mfa_textgrid_phone
4.270000,4.340000,AH1,what,1.0,10,1,1,-1,mfa_textgrid_phone
4.340000,4.380000,T,what,1.0,10,1,2,-1,mfa_textgrid_phone
4.410000,4.540000,IY1,each,1.0,11,1,0,-1,mfa_textgrid_phone
4.540000,4.670000,CH,each,1.0,11,1,1,-1,mfa_textgrid_phone
4.670000,4.750000,P,price,1.0,12,1,0,-1,mfa_textgrid_phone
4.750000,4.790000,R,price,1.0,12,1,1,-1,mfa_textgrid_phone
4.790000,4.870000,AY1,price,1.0,12,1,2,-1,mfa_textgrid_phone
4.870000,4.980000,S,price,1.0,12,1,3,-1,mfa_textgrid_phone
4.980000,5.020000,IH0,includes,1.0,13,1,0,-1,mfa_textgrid_phone
5.020000,5.090000,N,includes,1.0,13,1,1,-1,mfa_textgrid_phone
5.090000,5.220000,K,includes,1.0,13,1,2,-1,mfa_textgrid_phone
5.220000,5.250000,L,includes,1.0,13,1,3,-1,mfa_textgrid_phone
5.250000,5.450000,UW1,includes,1.0,13,1,4,-1,mfa_textgrid_phone
5.450000,5.530000,D,includes,1.0,13,1,5,-1,mfa_textgrid_phone
5.530000,5.660000,Z,includes,1.0,13,1,6,-1,mfa_textgrid_phone
5.940000,6.010000,K,confirm,1.0,14,2,0,-1,mfa_textgrid_phone
6.010000,6.050000,AH0,confirm,1.0,14,2,1,-1,mfa_textgrid_phone
6.050000,6.110000,N,confirm,1.0,14,2,2,-1,mfa_textgrid_phone
6.110000,6.210000,F,confirm,1.0,14,2,3,-1,mfa_textgrid_phone
6.210000,6.320000,ER1,confirm,1.0,14,2,4,-1,mfa_textgrid_phone
6.320000,6.400000,M,confirm,1.0,14,2,5,-1,mfa_textgrid_phone
6.400000,6.440000,DH,the,1.0,15,2,0,-1,mfa_textgrid_phone
6.440000,6.480000,AH0,the,1.0,15,2,1,-1,mfa_textgrid_phone
6.480000,6.540000,D,delivery,1.0,16,2,0,-1,mfa_textgrid_phone
6.540000,6.600000,IH0,delivery,1.0,16,2,1,-1,mfa_textgrid_phone
6.600000,6.670000,L,delivery,1.0,16,2,2,-1,mfa_textgrid_phone
6.670000,6.730000,IH1,delivery,1.0,16,2,3,-1,mfa_textgrid_phone
6.730000,6.800000,V,delivery,1.0,16,2,4,-1,mfa_textgrid_phone
6.800000,6.860000,ER0,delivery,1.0,16,2,5,-1,mfa_textgrid_phone
6.860000,6.960000,IY0,delivery,1.0,16,2,6,-1,mfa_textgrid_phone
6.960000,7.020000,D,date,1.0,17,2,0,-1,mfa_textgrid_phone
7.020000,7.220000,EY1,date,1.0,17,2,1,-1,mfa_textgrid_phone
7.220000,7.310000,T,date,1.0,17,2,2,-1,mfa_textgrid_phone
7.630000,7.690000,AE1,and,1.0,18,3,0,-1,mfa_textgrid_phone
7.690000,7.720000,N,and,1.0,18,3,1,-1,mfa_textgrid_phone
7.720000,7.820000,D,and,1.0,18,3,2,-1,mfa_textgrid_phone
7.820000,7.870000,R,write,1.0,19,3,0,-1,mfa_textgrid_phone
7.870000,7.990000,AY1,write,1.0,19,3,1,-1,mfa_textgrid_phone
7.990000,8.050000,T,write,1.0,19,3,2,-1,mfa_textgrid_phone
8.050000,8.100000,D,down,1.0,20,3,0,-1,mfa_textgrid_phone
8.100000,8.230000,AW1,down,1.0,20,3,1,-1,mfa_textgrid_phone
8.230000,8.280000,N,down,1.0,20,3,2,-1,mfa_textgrid_phone
8.280000,8.430000,EH1,any,1.0,21,3,0,-1,mfa_textgrid_phone
8.430000,8.480000,N,any,1.0,21,3,1,-1,mfa_textgrid_phone
8.480000,8.580000,IY0,any,1.0,21,3,2,-1,mfa_textgrid_phone
8.580000,8.720000,P,promise,1.0,22,3,0,-1,mfa_textgrid_phone
8.720000,8.760000,R,promise,1.0,22,3,1,-1,mfa_textgrid_phone
8.760000,8.860000,AA1,promise,1.0,22,3,2,-1,mfa_textgrid_phone
8.860000,8.920000,M,promise,1.0,22,3,3,-1,mfa_textgrid_phone
8.920000,9.020000,AH0,promise,1.0,22,3,4,-1,mfa_textgrid_phone
9.020000,9.120000,S,promise,1.0,22,3,5,-1,mfa_textgrid_phone
9.120000,9.190000,DH,that,1.0,23,3,0,-1,mfa_textgrid_phone
9.190000,9.240000,AE1,that,1.0,23,3,1,-1,mfa_textgrid_phone
9.240000,9.290000,T,that,1.0,23,3,2,-1,mfa_textgrid_phone
9.290000,9.340000,K,could,1.0,24,3,0,-1,mfa_textgrid_phone
9.340000,9.370000,UH1,could,1.0,24,3,1,-1,mfa_textgrid_phone
9.370000,9.410000,D,could,1.0,24,3,2,-1,mfa_textgrid_phone
9.410000,9.460000,AH0,affect,1.0,25,3,0,-1,mfa_textgrid_phone
9.460000,9.580000,F,affect,1.0,25,3,1,-1,mfa_textgrid_phone
9.580000,9.660000,EH1,affect,1.0,25,3,2,-1,mfa_textgrid_phone
9.660000,9.750000,K,affect,1.0,25,3,3,-1,mfa_textgrid_phone
9.750000,9.850000,T,affect,1.0,25,3,4,-1,mfa_textgrid_phone
9.850000,9.880000,DH,the,1.0,26,3,0,-1,mfa_textgrid_phone
9.880000,9.920000,AH0,the,1.0,26,3,1,-1,mfa_textgrid_phone
9.920000,10.020000,F,final,1.0,27,3,0,-1,mfa_textgrid_phone
10.020000,10.130000,AY1,final,1.0,27,3,1,-1,mfa_textgrid_phone
10.130000,10.180000,N,final,1.0,27,3,2,-1,mfa_textgrid_phone
10.180000,10.240000,AH0,final,1.0,27,3,3,-1,mfa_textgrid_phone
10.240000,10.270000,L,final,1.0,27,3,4,-1,mfa_textgrid_phone
10.270000,10.400000,K,cost,1.0,28,3,0,-1,mfa_textgrid_phone
10.400000,10.570000,AA1,cost,1.0,28,3,1,-1,mfa_textgrid_phone
10.570000,10.770000,S,cost,1.0,28,3,2,-1,mfa_textgrid_phone
10.770000,10.850000,T,cost,1.0,28,3,3,-1,mfa_textgrid_phone
