word_index,word,start,end,speech_region_index,sentence_index
0,before,0.380000,0.690000,0,-1
1,you,0.690000,0.790000,0,-1
2,make,0.790000,0.990000,0,-1
3,a,0.990000,1.020000,0,-1
4,decision,1.020000,1.690000,0,-1
5,compare,1.940000,2.320000,1,-1
6,the,2.320000,2.420000,1,-1
7,two,2.420000,2.670000,1,-1
8,estimates,2.670000,3.260000,1,-1
9,ask,3.530000,3.860000,2,-1
10,what,3.860000,4.060000,2,-1
11,each,4.060000,4.290000,2,-1
12,price,4.290000,4.590000,2,-1
13,includes,4.590000,5.150000,2,-1
14,confirm,5.410000,5.800000,3,-1
15,the,5.800000,5.880000,3,-1
16,delivery,5.880000,6.290000,3,-1
17,date,6.290000,6.600000,3,-1
18,and,6.660000,6.790000,3,-1
19,write,6.790000,7.020000,3,-1
20,down,7.020000,7.240000,3,-1
21,any,7.240000,7.480000,3,-1
22,promise,7.480000,7.950000,3,-1
23,that,7.950000,8.060000,3,-1
24,could,8.060000,8.230000,3,-1
25,affect,8.230000,8.600000,3,-1
26,the,8.600000,8.670000,3,-1
27,final,8.670000,9.050000,3,-1
28,cost,9.050000,9.530000,3,-1
