start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.500000,0.580000,AH0,a,1.0,0,0,0,-1,mfa_textgrid_phone
0.580000,0.640000,G,good,1.0,1,0,0,-1,mfa_textgrid_phone
0.640000,0.710000,UH1,good,1.0,1,0,1,-1,mfa_textgrid_phone
0.710000,0.750000,D,good,1.0,1,0,2,-1,mfa_textgrid_phone
0.750000,0.840000,EH2,explanation,1.0,2,0,0,-1,mfa_textgrid_phone
0.840000,0.880000,K,explanation,1.0,2,0,1,-1,mfa_textgrid_phone
0.880000,0.940000,S,explanation,1.0,2,0,2,-1,mfa_textgrid_phone
0.940000,1.000000,P,explanation,1.0,2,0,3,-1,mfa_textgrid_phone
1.000000,1.040000,L,explanation,1.0,2,0,4,-1,mfa_textgrid_phone
1.040000,1.070000,AH0,explanation,1.0,2,0,5,-1,mfa_textgrid_phone
1.070000,1.110000,N,explanation,1.0,2,0,6,-1,mfa_textgrid_phone
1.110000,1.200000,EY1,explanation,1.0,2,0,7,-1,mfa_textgrid_phone
1.200000,1.320000,SH,explanation,1.0,2,0,8,-1,mfa_textgrid_phone
1.320000,1.370000,AH0,explanation,1.0,2,0,9,-1,mfa_textgrid_phone
1.370000,1.450000,N,explanation,1.0,2,0,10,-1,mfa_textgrid_phone
1.450000,1.500000,D,does,1.0,3,0,0,-1,mfa_textgrid_phone
1.500000,1.580000,AH1,does,1.0,3,0,1,-1,mfa_textgrid_phone
1.580000,1.660000,Z,does,1.0,3,0,2,-1,mfa_textgrid_phone
1.660000,1.750000,M,more,1.0,4,0,0,-1,mfa_textgrid_phone
1.750000,1.820000,AO1,more,1.0,4,0,1,-1,mfa_textgrid_phone
1.820000,1.890000,R,more,1.0,4,0,2,-1,mfa_textgrid_phone
1.890000,1.940000,DH,than,1.0,5,0,0,-1,mfa_textgrid_phone
1.940000,1.990000,AH0,than,1.0,5,0,1,-1,mfa_textgrid_phone
1.990000,2.040000,N,than,1.0,5,0,2,-1,mfa_textgrid_phone
2.040000,2.120000,S,state,1.0,6,0,0,-1,mfa_textgrid_phone
2.120000,2.180000,T,state,1.0,6,0,1,-1,mfa_textgrid_phone
2.180000,2.270000,EY1,state,1.0,6,0,2,-1,mfa_textgrid_phone
2.270000,2.330000,T,state,1.0,6,0,3,-1,mfa_textgrid_phone
2.330000,2.370000,DH,the,1.0,7,0,0,-1,mfa_textgrid_phone
2.370000,2.460000,IY0,the,1.0,7,0,1,-1,mfa_textgrid_phone
2.460000,2.550000,AE1,answer,1.0,8,0,0,-1,mfa_textgrid_phone
2.550000,2.590000,N,answer,1.0,8,0,1,-1,mfa_textgrid_phone
2.590000,2.680000,S,answer,1.0,8,0,2,-1,mfa_textgrid_phone
2.680000,2.870000,ER0,answer,1.0,8,0,3,-1,mfa_textgrid_phone
3.390000,3.470000,IH1,it,1.0,9,1,0,-1,mfa_textgrid_phone
3.470000,3.510000,T,it,1.0,9,1,1,-1,mfa_textgrid_phone
3.510000,3.570000,AY0,identifies,1.0,10,1,0,-1,mfa_textgrid_phone
3.570000,3.640000,D,identifies,1.0,10,1,1,-1,mfa_textgrid_phone
3.640000,3.690000,EH1,identifies,1.0,10,1,2,-1,mfa_textgrid_phone
3.690000,3.720000,N,identifies,1.0,10,1,3,-1,mfa_textgrid_phone
3.720000,3.750000,T,identifies,1.0,10,1,4,-1,mfa_textgrid_phone
3.750000,3.780000,AH0,identifies,1.0,10,1,5,-1,mfa_textgrid_phone
3.780000,3.860000,F,identifies,1.0,10,1,6,-1,mfa_textgrid_phone
3.860000,3.970000,AY2,identifies,1.0,10,1,7,-1,mfa_textgrid_phone
3.970000,4.030000,Z,identifies,1.0,10,1,8,-1,mfa_textgrid_phone
