word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,the,1,children,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,children,2,built,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,built,3,a,,,none,0,none,0.050000,0.050000,0.050000,0.050000,0,0
3,a,4,tiny,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,tiny,5,town,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,town,6,from,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,from,7,boxes,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,boxes,8,and,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,and,9,colored,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,colored,10,paper,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,paper,11,they,.,.,region_break,1,hard_punctuation_with_lull,0.600000,0.600000,0.600000,0.600000,0,1
11,they,12,added,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,added,13,roads,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,roads,14,bridges,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
14,bridges,15,gardens,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
15,gardens,16,a,",",",",soft_pause,0,none,0.030000,0.030000,0.030000,0.030000,1,1
16,a,17,hospital,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
17,hospital,18,and,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
18,and,19,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
19,a,20,busy,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
20,busy,21,station,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
21,station,22,where,,,region_break,1,strong_acoustic_gap,0.240000,0.240000,0.240000,0.240000,1,2
22,where,23,every,,,none,0,none,0.030000,0.030000,0.000000,0.030000,2,2
23,every,24,paper,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
24,paper,25,train,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
25,train,26,arrived,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
26,arrived,27,precisely,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
27,precisely,28,on,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
28,on,29,time,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
