word_index,word,start,end,speech_region_index,sentence_index
0,the,0.400000,0.460000,0,-1
1,children,0.460000,0.990000,0,-1
2,built,0.990000,1.310000,0,-1
3,a,1.360000,1.420000,0,-1
4,tiny,1.420000,1.910000,0,-1
5,town,1.910000,2.290000,0,-1
6,from,2.290000,2.490000,0,-1
7,boxes,2.490000,2.960000,0,-1
8,and,2.960000,3.080000,0,-1
9,colored,3.080000,3.390000,0,-1
10,paper,3.390000,3.820000,0,-1
11,they,4.420000,4.560000,1,-1
12,added,4.560000,4.830000,1,-1
13,roads,4.830000,5.340000,1,-1
14,bridges,5.340000,5.890000,1,-1
15,gardens,5.890000,6.460000,1,-1
16,a,6.490000,6.550000,1,-1
17,hospital,6.550000,7.100000,1,-1
18,and,7.100000,7.240000,1,-1
19,a,7.240000,7.270000,1,-1
20,busy,7.270000,7.600000,1,-1
21,station,7.600000,8.170000,1,-1
22,where,8.410000,8.590000,2,-1
23,every,8.620000,8.890000,2,-1
24,paper,8.890000,9.210000,2,-1
25,train,9.210000,9.510000,2,-1
26,arrived,9.510000,10.000000,2,-1
27,precisely,10.000000,10.640000,2,-1
28,on,10.640000,10.840000,2,-1
29,time,10.840000,11.190000,2,-1
