word_index,word,start,end,speech_region_index,sentence_index
0,the,1.020000,1.110000,0,-1
1,children,1.110000,1.630000,0,-1
2,built,1.630000,1.910000,0,-1
3,a,1.910000,1.960000,0,-1
4,tiny,1.960000,2.380000,0,-1
5,town,2.380000,2.780000,0,-1
6,from,2.780000,2.970000,0,-1
7,boxes,2.970000,3.510000,0,-1
8,and,3.510000,3.640000,0,-1
9,colored,3.640000,3.990000,0,-1
10,paper,3.990000,4.500000,0,-1
11,they,5.260000,5.400000,1,-1
12,added,5.400000,5.710000,1,-1
13,roads,5.710000,6.270000,1,-1
14,bridges,6.270000,6.830000,1,-1
15,gardens,6.830000,7.420000,1,-1
16,a,7.450000,7.490000,1,-1
17,hospital,7.490000,8.090000,1,-1
18,and,8.090000,8.260000,1,-1
19,a,8.260000,8.300000,1,-1
20,busy,8.300000,8.580000,1,-1
21,station,8.580000,9.090000,1,-1
22,where,9.090000,9.230000,1,-1
23,every,9.280000,9.550000,1,-1
24,paper,9.550000,9.850000,1,-1
25,train,9.850000,10.130000,1,-1
26,arrived,10.130000,10.570000,1,-1
27,precisely,10.570000,11.200000,1,-1
28,on,11.200000,11.360000,1,-1
29,time,11.360000,11.780000,1,-1
