start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.380000,0.510000,AY1,i,1.0,0,0,0,-1,mfa_textgrid_phone
0.510000,0.560000,IH0,expected,1.0,1,0,0,-1,mfa_textgrid_phone
0.560000,0.600000,K,expected,1.0,1,0,1,-1,mfa_textgrid_phone
0.600000,0.680000,S,expected,1.0,1,0,2,-1,mfa_textgrid_phone
0.680000,0.760000,P,expected,1.0,1,0,3,-1,mfa_textgrid_phone
0.760000,0.830000,EH1,expected,1.0,1,0,4,-1,mfa_textgrid_phone
0.830000,0.870000,K,expected,1.0,1,0,5,-1,mfa_textgrid_phone
0.870000,0.920000,T,expected,1.0,1,0,6,-1,mfa_textgrid_phone
0.920000,0.960000,IH0,expected,1.0,1,0,7,-1,mfa_textgrid_phone
0.960000,1.000000,D,expected,1.0,1,0,8,-1,mfa_textgrid_phone
1.000000,1.030000,DH,the,1.0,2,0,0,-1,mfa_textgrid_phone
1.030000,1.080000,AH0,the,1.0,2,0,1,-1,mfa_textgrid_phone
1.080000,1.210000,JH,journey,1.0,3,0,0,-1,mfa_textgrid_phone
1.210000,1.330000,ER1,journey,1.0,3,0,1,-1,mfa_textgrid_phone
1.330000,1.360000,N,journey,1.0,3,0,2,-1,mfa_textgrid_phone
1.360000,1.440000,IY0,journey,1.0,3,0,3,-1,mfa_textgrid_phone
1.440000,1.480000,T,to,1.0,4,0,0,-1,mfa_textgrid_phone
1.480000,1.530000,IH0,to,1.0,4,0,1,-1,mfa_textgrid_phone
1.530000,1.640000,F,feel,1.0,5,0,0,-1,mfa_textgrid_phone
1.640000,1.720000,IY1,feel,1.0,5,0,1,-1,mfa_textgrid_phone
1.720000,1.820000,L,feel,1.0,5,0,2,-1,mfa_textgrid_phone
1.820000,1.940000,EH1,endless,1.0,6,0,0,-1,mfa_textgrid_phone
1.940000,1.980000,N,endless,1.0,6,0,1,-1,mfa_textgrid_phone
1.980000,2.050000,D,endless,1.0,6,0,2,-1,mfa_textgrid_phone
2.050000,2.100000,L,endless,1.0,6,0,3,-1,mfa_textgrid_phone
2.100000,2.190000,AH0,endless,1.0,6,0,4,-1,mfa_textgrid_phone
2.190000,2.400000,S,endless,1.0,6,0,5,-1,mfa_textgrid_phone
2.680000,2.780000,Y,yet,1.0,7,1,0,-1,mfa_textgrid_phone
2.780000,2.840000,EH1,yet,1.0,7,1,1,-1,mfa_textgrid_phone
2.840000,2.880000,T,yet,1.0,7,1,2,-1,mfa_textgrid_phone
2.980000,3.080000,EH1,every,1.0,8,1,0,-1,mfa_textgrid_phone
3.080000,3.160000,V,every,1.0,8,1,1,-1,mfa_textgrid_phone
3.160000,3.220000,R,every,1.0,8,1,2,-1,mfa_textgrid_phone
3.220000,3.270000,IY0,every,1.0,8,1,3,-1,mfa_textgrid_phone
3.270000,3.420000,S,stop,1.0,9,1,0,-1,mfa_textgrid_phone
3.420000,3.470000,T,stop,1.0,9,1,1,-1,mfa_textgrid_phone
3.470000,3.640000,AA1,stop,1.0,9,1,2,-1,mfa_textgrid_phone
3.640000,3.680000,P,stop,1.0,9,1,3,-1,mfa_textgrid_phone
3.680000,3.770000,B,brought,1.0,10,1,0,-1,mfa_textgrid_phone
3.770000,3.840000,R,brought,1.0,10,1,1,-1,mfa_textgrid_phone
3.840000,3.950000,AA1,brought,1.0,10,1,2,-1,mfa_textgrid_phone
3.950000,4.000000,T,brought,1.0,10,1,3,-1,mfa_textgrid_phone
4.000000,4.110000,S,something,1.0,11,1,0,-1,mfa_textgrid_phone
4.110000,4.170000,AH1,something,1.0,11,1,1,-1,mfa_textgrid_phone
4.170000,4.220000,M,something,1.0,11,1,2,-1,mfa_textgrid_phone
4.220000,4.290000,TH,something,1.0,11,1,3,-1,mfa_textgrid_phone
4.290000,4.340000,IH0,something,1.0,11,1,4,-1,mfa_textgrid_phone
4.340000,4.440000,NG,something,1.0,11,1,5,-1,mfa_textgrid_phone
4.440000,4.480000,M,memorable,1.0,12,1,0,-1,mfa_textgrid_phone
4.480000,4.550000,EH1,memorable,1.0,12,1,1,-1,mfa_textgrid_phone
4.550000,4.650000,M,memorable,1.0,12,1,2,-1,mfa_textgrid_phone
4.650000,4.690000,ER0,memorable,1.0,12,1,3,-1,mfa_textgrid_phone
4.690000,4.750000,AH0,memorable,1.0,12,1,4,-1,mfa_textgrid_phone
4.750000,4.830000,B,memorable,1.0,12,1,5,-1,mfa_textgrid_phone
4.830000,4.840000,AH0,memorable,1.0,12,1,6,-1,mfa_textgrid_phone
4.840000,5.030000,L,memorable,1.0,12,1,7,-1,mfa_textgrid_phone
5.470000,5.530000,AH0,a,1.0,13,2,0,-1,mfa_textgrid_phone
5.530000,5.660000,F,friendly,1.0,14,2,0,-1,mfa_textgrid_phone
5.660000,5.710000,R,friendly,1.0,14,2,1,-1,mfa_textgrid_phone
5.710000,5.760000,EH1,friendly,1.0,14,2,2,-1,mfa_textgrid_phone
5.760000,5.830000,N,friendly,1.0,14,2,3,-1,mfa_textgrid_phone
5.830000,5.880000,L,friendly,1.0,14,2,4,-1,mfa_textgrid_phone
5.880000,5.920000,IY0,friendly,1.0,14,2,5,-1,mfa_textgrid_phone
5.920000,6.000000,K,conversation,1.0,15,2,0,-1,mfa_textgrid_phone
6.000000,6.100000,AA2,conversation,1.0,15,2,1,-1,mfa_textgrid_phone
6.100000,6.140000,N,conversation,1.0,15,2,2,-1,mfa_textgrid_phone
6.140000,6.170000,V,conversation,1.0,15,2,3,-1,mfa_textgrid_phone
6.170000,6.230000,ER0,conversation,1.0,15,2,4,-1,mfa_textgrid_phone
6.230000,6.350000,S,conversation,1.0,15,2,5,-1,mfa_textgrid_phone
6.350000,6.480000,EY1,conversation,1.0,15,2,6,-1,mfa_textgrid_phone
6.480000,6.600000,SH,conversation,1.0,15,2,7,-1,mfa_textgrid_phone
6.600000,6.690000,AH0,conversation,1.0,15,2,8,-1,mfa_textgrid_phone
6.690000,6.840000,N,conversation,1.0,15,2,9,-1,mfa_textgrid_phone
7.080000,7.150000,AH0,a,1.0,16,3,0,-1,mfa_textgrid_phone
7.150000,7.260000,B,beautiful,1.0,17,3,0,-1,mfa_textgrid_phone
7.260000,7.360000,Y,beautiful,1.0,17,3,1,-1,mfa_textgrid_phone
7.360000,7.400000,UW1,beautiful,1.0,17,3,2,-1,mfa_textgrid_phone
7.400000,7.430000,T,beautiful,1.0,17,3,3,-1,mfa_textgrid_phone
7.430000,7.480000,AH0,beautiful,1.0,17,3,4,-1,mfa_textgrid_phone
7.480000,7.560000,F,beautiful,1.0,17,3,5,-1,mfa_textgrid_phone
7.560000,7.590000,AH0,beautiful,1.0,17,3,6,-1,mfa_textgrid_phone
7.590000,7.660000,L,beautiful,1.0,17,3,7,-1,mfa_textgrid_phone
7.660000,7.740000,V,view,1.0,18,3,0,-1,mfa_textgrid_phone
7.740000,7.890000,Y,view,1.0,18,3,1,-1,mfa_textgrid_phone
7.890000,8.120000,UW1,view,1.0,18,3,2,-1,mfa_textgrid_phone
8.320000,8.380000,AE1,an,1.0,19,4,0,-1,mfa_textgrid_phone
8.380000,8.450000,N,an,1.0,19,4,1,-1,mfa_textgrid_phone
8.480000,8.590000,EH1,excellent,1.0,20,4,0,-1,mfa_textgrid_phone
8.590000,8.650000,K,excellent,1.0,20,4,1,-1,mfa_textgrid_phone
8.650000,8.740000,S,excellent,1.0,20,4,2,-1,mfa_textgrid_phone
8.740000,8.780000,AH0,excellent,1.0,20,4,3,-1,mfa_textgrid_phone
8.780000,8.820000,L,excellent,1.0,20,4,4,-1,mfa_textgrid_phone
8.820000,8.880000,AH0,excellent,1.0,20,4,5,-1,mfa_textgrid_phone
