word_index,word,start,end,speech_region_index,sentence_index
0,visit,0.080000,0.430000,0,-1
1,the,0.430000,0.510000,0,-1
2,library,0.510000,1.310000,0,-1
3,the,1.400000,1.490000,0,-1
4,market,1.490000,2.110000,0,-1
5,the,2.250000,2.340000,1,-1
6,post,2.340000,2.750000,1,-1
7,office,2.750000,3.330000,1,-1
8,the,3.600000,3.690000,2,-1
9,bank,3.690000,4.200000,2,-1
10,the,4.380000,4.470000,3,-1
11,park,4.470000,4.970000,3,-1
12,and,5.250000,5.380000,4,-1
13,the,5.380000,5.480000,4,-1
14,old,5.520000,5.780000,4,-1
15,stone,5.780000,6.140000,4,-1
16,church,6.140000,6.700000,4,-1
