word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,the,1,garden,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,garden,2,contains,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,contains,3,roses,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,roses,4,lilies,",",",",region_break,1,comma_with_lull,0.260000,0.260000,0.260000,0.260000,0,1
4,lilies,5,tulips,",",",",region_break,1,comma_with_lull,0.240000,0.240000,0.240000,0.240000,1,2
5,tulips,6,sunflowers,",",",",region_break,1,comma_with_lull,0.170000,0.170000,0.170000,0.170000,2,3
6,sunflowers,7,lavender,",",",",region_break,1,comma_with_lull,0.190000,0.190000,0.190000,0.190000,3,4
7,lavender,8,mint,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,4,4
8,mint,9,thyme,",",",",region_break,1,comma_with_lull,0.190000,0.190000,0.190000,0.190000,4,5
9,thyme,10,and,",",",",region_break,1,comma_with_lull,0.160000,0.160000,0.160000,0.160000,5,6
10,and,11,tall,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
11,tall,12,green,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
12,green,13,grass,,,none,0,none,0.000000,0.000000,0.000000,0.000000,6,6
