word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,the,1,garden,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,garden,2,contains,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,contains,3,roses,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,roses,4,lilies,",",",",region_break,1,comma_with_lull,0.120000,0.120000,0.120000,0.120000,0,1
4,lilies,5,tulips,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
5,tulips,6,sunflowers,",",",",soft_pause,0,none,0.060000,0.060000,0.060000,0.060000,1,1
6,sunflowers,7,lavender,",",",",soft_pause,0,none,0.050000,0.050000,0.050000,0.050000,1,1
7,lavender,8,mint,",",",",region_break,1,comma_with_lull,0.180000,0.180000,0.180000,0.180000,1,2
8,mint,9,thyme,",",",",region_break,1,comma_with_lull,0.140000,0.140000,0.140000,0.140000,2,3
9,thyme,10,and,",",",",soft_pause,0,none,0.040000,0.040000,0.040000,0.040000,3,3
10,and,11,tall,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
11,tall,12,green,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
12,green,13,grass,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
