start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.350000,0.380000,B,before,1.0,0,0,0,-1,mfa_textgrid_phone
0.380000,0.440000,IH0,before,1.0,0,0,1,-1,mfa_textgrid_phone
0.440000,0.550000,F,before,1.0,0,0,2,-1,mfa_textgrid_phone
0.550000,0.620000,AO1,before,1.0,0,0,3,-1,mfa_textgrid_phone
0.620000,0.700000,R,before,1.0,0,0,4,-1,mfa_textgrid_phone
0.700000,0.800000,L,leaving,1.0,1,0,0,-1,mfa_textgrid_phone
0.800000,0.920000,IY1,leaving,1.0,1,0,1,-1,mfa_textgrid_phone
0.920000,0.990000,V,leaving,1.0,1,0,2,-1,mfa_textgrid_phone
0.990000,1.100000,IH0,leaving,1.0,1,0,3,-1,mfa_textgrid_phone
1.100000,1.250000,NG,leaving,1.0,1,0,4,-1,mfa_textgrid_phone
1.560000,1.650000,T,turn,1.0,2,1,0,-1,mfa_textgrid_phone
1.650000,1.770000,ER1,turn,1.0,2,1,1,-1,mfa_textgrid_phone
1.770000,1.820000,N,turn,1.0,2,1,2,-1,mfa_textgrid_phone
1.820000,1.950000,AA1,off,1.0,3,1,0,-1,mfa_textgrid_phone
1.950000,2.030000,F,off,1.0,3,1,1,-1,mfa_textgrid_phone
2.030000,2.080000,DH,the,1.0,4,1,0,-1,mfa_textgrid_phone
2.080000,2.140000,AH0,the,1.0,4,1,1,-1,mfa_textgrid_phone
2.140000,2.240000,L,lamps,1.0,5,1,0,-1,mfa_textgrid_phone
2.240000,2.420000,AE1,lamps,1.0,5,1,1,-1,mfa_textgrid_phone
2.420000,2.490000,M,lamps,1.0,5,1,2,-1,mfa_textgrid_phone
2.490000,2.540000,P,lamps,1.0,5,1,3,-1,mfa_textgrid_phone
2.540000,2.730000,S,lamps,1.0,5,1,4,-1,mfa_textgrid_phone
3.010000,3.100000,K,close,1.0,6,2,0,-1,mfa_textgrid_phone
3.100000,3.140000,L,close,1.0,6,2,1,-1,mfa_textgrid_phone
3.140000,3.270000,OW1,close,1.0,6,2,2,-1,mfa_textgrid_phone
3.270000,3.350000,Z,close,1.0,6,2,3,-1,mfa_textgrid_phone
3.350000,3.400000,DH,the,1.0,7,2,0,-1,mfa_textgrid_phone
3.400000,3.460000,AH0,the,1.0,7,2,1,-1,mfa_textgrid_phone
3.460000,3.520000,W,windows,1.0,8,2,0,-1,mfa_textgrid_phone
3.520000,3.600000,IH1,windows,1.0,8,2,1,-1,mfa_textgrid_phone
3.600000,3.680000,N,windows,1.0,8,2,2,-1,mfa_textgrid_phone
3.680000,3.730000,D,windows,1.0,8,2,3,-1,mfa_textgrid_phone
3.730000,3.940000,OW0,windows,1.0,8,2,4,-1,mfa_textgrid_phone
3.940000,4.120000,Z,windows,1.0,8,2,5,-1,mfa_textgrid_phone
4.360000,4.520000,F,feed,1.0,9,3,0,-1,mfa_textgrid_phone
4.520000,4.640000,IY1,feed,1.0,9,3,1,-1,mfa_textgrid_phone
4.640000,4.690000,D,feed,1.0,9,3,2,-1,mfa_textgrid_phone
4.690000,4.730000,DH,the,1.0,10,3,0,-1,mfa_textgrid_phone
4.730000,4.780000,IY0,the,1.0,10,3,1,-1,mfa_textgrid_phone
4.780000,4.920000,K,cat,1.0,11,3,0,-1,mfa_textgrid_phone
4.920000,5.150000,AE1,cat,1.0,11,3,1,-1,mfa_textgrid_phone
5.150000,5.290000,T,cat,1.0,11,3,2,-1,mfa_textgrid_phone
5.640000,5.750000,L,lock,1.0,12,4,0,-1,mfa_textgrid_phone
5.750000,5.870000,AA1,lock,1.0,12,4,1,-1,mfa_textgrid_phone
5.870000,5.960000,K,lock,1.0,12,4,2,-1,mfa_textgrid_phone
5.960000,6.010000,DH,the,1.0,13,4,0,-1,mfa_textgrid_phone
6.010000,6.060000,AH0,the,1.0,13,4,1,-1,mfa_textgrid_phone
6.060000,6.130000,B,back,1.0,14,4,0,-1,mfa_textgrid_phone
6.130000,6.270000,AE1,back,1.0,14,4,1,-1,mfa_textgrid_phone
6.270000,6.380000,K,back,1.0,14,4,2,-1,mfa_textgrid_phone
6.380000,6.440000,D,door,1.0,15,4,0,-1,mfa_textgrid_phone
6.440000,6.610000,AO1,door,1.0,15,4,1,-1,mfa_textgrid_phone
6.610000,6.830000,R,door,1.0,15,4,2,-1,mfa_textgrid_phone
7.140000,7.200000,AE1,and,1.0,16,5,0,-1,mfa_textgrid_phone
7.200000,7.250000,N,and,1.0,16,5,1,-1,mfa_textgrid_phone
7.250000,7.290000,D,and,1.0,16,5,2,-1,mfa_textgrid_phone
7.290000,7.400000,CH,check,1.0,17,5,0,-1,mfa_textgrid_phone
7.400000,7.480000,EH1,check,1.0,17,5,1,-1,mfa_textgrid_phone
7.480000,7.570000,K,check,1.0,17,5,2,-1,mfa_textgrid_phone
7.570000,7.620000,DH,the,1.0,18,5,0,-1,mfa_textgrid_phone
7.620000,7.660000,AH0,the,1.0,18,5,1,-1,mfa_textgrid_phone
7.660000,7.780000,S,stove,1.0,19,5,0,-1,mfa_textgrid_phone
7.780000,7.840000,T,stove,1.0,19,5,1,-1,mfa_textgrid_phone
7.840000,8.110000,OW1,stove,1.0,19,5,2,-1,mfa_textgrid_phone
8.110000,8.270000,V,stove,1.0,19,5,3,-1,mfa_textgrid_phone
