word_index,word,start,end,speech_region_index,sentence_index
0,before,0.420000,0.740000,0,-1
1,leaving,0.740000,1.300000,0,-1
2,turn,1.420000,1.640000,0,-1
3,off,1.640000,1.800000,0,-1
4,the,1.800000,1.900000,0,-1
5,lamps,1.900000,2.370000,0,-1
6,close,2.530000,2.810000,1,-1
7,the,2.810000,2.890000,1,-1
8,windows,2.890000,3.370000,1,-1
9,feed,3.540000,3.880000,2,-1
10,the,3.880000,3.960000,2,-1
11,cat,3.960000,4.450000,2,-1
12,lock,4.620000,4.870000,3,-1
13,the,4.870000,4.940000,3,-1
14,back,4.940000,5.210000,3,-1
15,door,5.210000,5.480000,3,-1
16,and,5.480000,5.680000,3,-1
17,check,5.680000,5.880000,3,-1
18,the,5.880000,5.960000,3,-1
19,stove,5.960000,6.430000,3,-1
