word_index,word,start,end,speech_region_index,sentence_index
0,she,0.000000,0.150000,0,-1
1,described,0.150000,0.680000,0,-1
2,the,0.680000,0.770000,0,-1
3,room,0.770000,1.110000,0,-1
4,as,1.110000,1.310000,0,-1
5,bright,1.310000,1.890000,0,-1
6,quiet,2.150000,2.720000,1,-1
7,spacious,2.910000,3.730000,2,-1
8,comfortable,3.990000,4.670000,3,-1
9,clean,4.900000,5.400000,4,-1
10,modern,5.620000,6.190000,5,-1
11,and,6.410000,6.530000,6,-1
12,surprisingly,6.530000,7.210000,6,-1
13,warm,7.210000,7.630000,6,-1
