word_index,word,start,end,speech_region_index,sentence_index
0,we,0.490000,0.600000,0,-1
1,heard,0.600000,0.930000,0,-1
2,thunder,0.930000,1.610000,0,-1
3,heavy,1.980000,2.350000,1,-1
4,rain,2.350000,2.880000,1,-1
5,rushing,3.180000,3.630000,2,-1
6,water,3.630000,4.140000,2,-1
7,snapping,4.460000,4.980000,3,-1
8,branches,4.980000,5.660000,3,-1
9,barking,5.990000,6.390000,4,-1
10,dogs,6.390000,6.950000,4,-1
11,and,7.240000,7.350000,5,-1
12,a,7.350000,7.400000,5,-1
13,distant,7.400000,7.840000,5,-1
14,alarm,7.840000,8.360000,5,-1
