start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.490000,0.590000,P,P,please,1.0,0,0,-1,P,0,mfa_textgrid_phone
0.590000,0.620000,L,L,please,1.0,0,0,-1,L,1,mfa_textgrid_phone
0.620000,0.720000,IY1,IY1,please,1.0,0,0,-1,IY1,2,mfa_textgrid_phone
0.720000,0.800000,Z,Z,please,1.0,0,0,-1,Z,3,mfa_textgrid_phone
0.800000,0.870000,S,S,sort,1.0,1,0,-1,S,0,mfa_textgrid_phone
0.870000,0.930000,AO1,AO1,sort,1.0,1,0,-1,AO1,1,mfa_textgrid_phone
0.930000,0.980000,R,R,sort,1.0,1,0,-1,R,2,mfa_textgrid_phone
0.980000,1.020000,T,T,sort,1.0,1,0,-1,T,3,mfa_textgrid_phone
1.020000,1.060000,DH,DH,the,1.0,2,0,-1,DH,0,mfa_textgrid_phone
1.060000,1.110000,AH1,AH1,the,1.0,2,0,-1,AH1,1,mfa_textgrid_phone
1.110000,1.190000,L,L,letters,1.0,3,0,-1,L,0,mfa_textgrid_phone
1.190000,1.230000,EH1,EH1,letters,1.0,3,0,-1,EH1,1,mfa_textgrid_phone
1.230000,1.270000,T,T,letters,1.0,3,0,-1,T,2,mfa_textgrid_phone
1.270000,1.370000,ER0,ER0,letters,1.0,3,0,-1,ER0,3,mfa_textgrid_phone
1.370000,1.430000,Z,Z,letters,1.0,3,0,-1,Z,4,mfa_textgrid_phone
1.430000,1.510000,B,B,by,1.0,4,0,-1,B,0,mfa_textgrid_phone
1.510000,1.580000,AY1,AY1,by,1.0,4,0,-1,AY1,1,mfa_textgrid_phone
1.580000,1.730000,S,S,sender,1.0,5,0,-1,S,0,mfa_textgrid_phone
1.730000,1.790000,EH1,EH1,sender,1.0,5,0,-1,EH1,1,mfa_textgrid_phone
1.790000,1.860000,N,N,sender,1.0,5,0,-1,N,2,mfa_textgrid_phone
1.860000,1.900000,D,D,sender,1.0,5,0,-1,D,3,mfa_textgrid_phone
1.900000,2.140000,ER0,ER0,sender,1.0,5,0,-1,ER0,4,mfa_textgrid_phone
2.250000,2.300000,D,D,date,1.0,6,0,-1,D,0,mfa_textgrid_phone
2.300000,2.460000,EY1,EY1,date,1.0,6,0,-1,EY1,1,mfa_textgrid_phone
2.460000,2.590000,T,T,date,1.0,6,0,-1,T,2,mfa_textgrid_phone
2.740000,2.880000,S,S,subject,1.0,7,1,-1,S,0,mfa_textgrid_phone
2.880000,2.950000,AH1,AH1,subject,1.0,7,1,-1,AH1,1,mfa_textgrid_phone
2.950000,3.020000,B,B,subject,1.0,7,1,-1,B,2,mfa_textgrid_phone
3.020000,3.070000,JH,JH,subject,1.0,7,1,-1,JH,3,mfa_textgrid_phone
3.070000,3.170000,IH0,IH0,subject,1.0,7,1,-1,IH0,4,mfa_textgrid_phone
3.170000,3.230000,K,K,subject,1.0,7,1,-1,K,5,mfa_textgrid_phone
3.230000,3.300000,T,T,subject,1.0,7,1,-1,T,6,mfa_textgrid_phone
3.490000,3.630000,ER1,ER1,urgency,1.0,8,2,-1,ER1,0,mfa_textgrid_phone
3.630000,3.710000,JH,JH,urgency,1.0,8,2,-1,JH,1,mfa_textgrid_phone
3.710000,3.750000,AH0,AH0,urgency,1.0,8,2,-1,AH0,2,mfa_textgrid_phone
3.750000,3.790000,N,N,urgency,1.0,8,2,-1,N,3,mfa_textgrid_phone
3.790000,3.900000,S,S,urgency,1.0,8,2,-1,S,4,mfa_textgrid_phone
3.900000,4.120000,IY0,IY0,urgency,1.0,8,2,-1,IY0,5,mfa_textgrid_phone
4.250000,4.300000,D,D,department,1.0,9,3,-1,D,0,mfa_textgrid_phone
4.300000,4.330000,IH0,IH0,department,1.0,9,3,-1,IH0,1,mfa_textgrid_phone
4.330000,4.450000,P,P,department,1.0,9,3,-1,P,2,mfa_textgrid_phone
4.450000,4.480000,AA1,AA1,department,1.0,9,3,-1,AA1,3,mfa_textgrid_phone
4.480000,4.550000,R,R,department,1.0,9,3,-1,R,4,mfa_textgrid_phone
4.550000,4.590000,T,T,department,1.0,9,3,-1,T,5,mfa_textgrid_phone
4.590000,4.630000,M,M,department,1.0,9,3,-1,M,6,mfa_textgrid_phone
4.630000,4.680000,AH0,AH0,department,1.0,9,3,-1,AH0,7,mfa_textgrid_phone
4.680000,4.710000,N,N,department,1.0,9,3,-1,N,8,mfa_textgrid_phone
4.710000,4.790000,T,T,department,1.0,9,3,-1,T,9,mfa_textgrid_phone
4.930000,4.970000,AE1,AE1,and,1.0,10,4,-1,AE1,0,mfa_textgrid_phone
4.970000,5.010000,N,N,and,1.0,10,4,-1,N,1,mfa_textgrid_phone
5.010000,5.050000,D,D,and,1.0,10,4,-1,D,2,mfa_textgrid_phone
5.050000,5.080000,R,R,required,1.0,11,4,-1,R,0,mfa_textgrid_phone
5.080000,5.130000,IY0,IY0,required,1.0,11,4,-1,IY0,1,mfa_textgrid_phone
5.130000,5.250000,K,K,required,1.0,11,4,-1,K,2,mfa_textgrid_phone
5.250000,5.290000,W,W,required,1.0,11,4,-1,W,3,mfa_textgrid_phone
5.290000,5.360000,AY1,AY1,required,1.0,11,4,-1,AY1,4,mfa_textgrid_phone
5.360000,5.460000,ER0,ER0,required,1.0,11,4,-1,ER0,5,mfa_textgrid_phone
5.460000,5.510000,D,D,required,1.0,11,4,-1,D,6,mfa_textgrid_phone
5.510000,5.560000,R,R,response,1.0,12,4,-1,R,0,mfa_textgrid_phone
5.560000,5.610000,IH0,IH0,response,1.0,12,4,-1,IH0,1,mfa_textgrid_phone
5.610000,5.670000,S,S,response,1.0,12,4,-1,S,2,mfa_textgrid_phone
5.670000,5.750000,P,P,response,1.0,12,4,-1,P,3,mfa_textgrid_phone
5.750000,5.900000,AA1,AA1,response,1.0,12,4,-1,AA1,4,mfa_textgrid_phone
5.900000,5.950000,N,N,response,1.0,12,4,-1,N,5,mfa_textgrid_phone
5.950000,6.080000,S,S,response,1.0,12,4,-1,S,6,mfa_textgrid_phone
