start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.490000,0.530000,HH,HH,which,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.530000,0.580000,W,W,which,1.0,0,0,-1,W,1,mfa_textgrid_phone
0.580000,0.640000,IH1,IH1,which,1.0,0,0,-1,IH1,2,mfa_textgrid_phone
0.640000,0.760000,CH,CH,which,1.0,0,0,-1,CH,3,mfa_textgrid_phone
0.760000,0.850000,R,R,route,1.0,1,0,-1,R,0,mfa_textgrid_phone
0.850000,1.040000,AW1,AW1,route,1.0,1,0,-1,AW1,1,mfa_textgrid_phone
1.040000,1.070000,T,T,route,1.0,1,0,-1,T,2,mfa_textgrid_phone
1.100000,1.150000,IH1,IH1,is,1.0,2,0,-1,IH1,0,mfa_textgrid_phone
1.150000,1.260000,Z,Z,is,1.0,2,0,-1,Z,1,mfa_textgrid_phone
1.260000,1.340000,F,F,faster,1.0,3,0,-1,F,0,mfa_textgrid_phone
1.340000,1.490000,AE1,AE1,faster,1.0,3,0,-1,AE1,1,mfa_textgrid_phone
1.490000,1.610000,S,S,faster,1.0,3,0,-1,S,2,mfa_textgrid_phone
1.610000,1.670000,T,T,faster,1.0,3,0,-1,T,3,mfa_textgrid_phone
1.670000,1.920000,ER0,ER0,faster,1.0,3,0,-1,ER0,4,mfa_textgrid_phone
2.570000,2.620000,DH,DH,the,1.0,4,1,-1,DH,0,mfa_textgrid_phone
2.620000,2.670000,AH0,AH0,the,1.0,4,1,-1,AH0,1,mfa_textgrid_phone
2.670000,2.770000,R,R,river,1.0,5,1,-1,R,0,mfa_textgrid_phone
2.770000,2.830000,IH1,IH1,river,1.0,5,1,-1,IH1,1,mfa_textgrid_phone
2.830000,2.890000,V,V,river,1.0,5,1,-1,V,2,mfa_textgrid_phone
2.890000,2.980000,ER0,ER0,river,1.0,5,1,-1,ER0,3,mfa_textgrid_phone
2.980000,3.090000,R,R,road,1.0,6,1,-1,R,0,mfa_textgrid_phone
3.090000,3.340000,OW1,OW1,road,1.0,6,1,-1,OW1,1,mfa_textgrid_phone
3.340000,3.420000,D,D,road,1.0,6,1,-1,D,2,mfa_textgrid_phone
3.580000,3.630000,AO1,AO1,or,1.0,7,1,-1,AO1,0,mfa_textgrid_phone
3.630000,3.710000,R,R,or,1.0,7,1,-1,R,1,mfa_textgrid_phone
3.710000,3.750000,DH,DH,the,1.0,8,1,-1,DH,0,mfa_textgrid_phone
3.750000,3.790000,AH0,AH0,the,1.0,8,1,-1,AH0,1,mfa_textgrid_phone
3.790000,3.880000,M,M,mountain,1.0,9,1,-1,M,0,mfa_textgrid_phone
3.880000,4.010000,AW1,AW1,mountain,1.0,9,1,-1,AW1,1,mfa_textgrid_phone
4.010000,4.050000,N,N,mountain,1.0,9,1,-1,N,2,mfa_textgrid_phone
4.050000,4.110000,T,T,mountain,1.0,9,1,-1,T,3,mfa_textgrid_phone
4.110000,4.160000,AH0,AH0,mountain,1.0,9,1,-1,AH0,4,mfa_textgrid_phone
4.160000,4.230000,N,N,mountain,1.0,9,1,-1,N,5,mfa_textgrid_phone
4.230000,4.310000,R,R,road,1.0,10,1,-1,R,0,mfa_textgrid_phone
4.310000,4.540000,OW1,OW1,road,1.0,10,1,-1,OW1,1,mfa_textgrid_phone
4.540000,4.650000,D,D,road,1.0,10,1,-1,D,2,mfa_textgrid_phone
