start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.460000,0.500000,DH,the,1.0,0,0,0,-1,mfa_textgrid_phone
0.500000,0.530000,AH0,the,1.0,0,0,1,-1,mfa_textgrid_phone
0.530000,0.650000,F,first,1.0,1,0,0,-1,mfa_textgrid_phone
0.650000,0.750000,ER1,first,1.0,1,0,1,-1,mfa_textgrid_phone
0.750000,0.800000,S,first,1.0,1,0,2,-1,mfa_textgrid_phone
0.800000,0.860000,T,first,1.0,1,0,3,-1,mfa_textgrid_phone
0.860000,0.900000,AH0,attempt,1.0,2,0,0,-1,mfa_textgrid_phone
0.900000,1.000000,T,attempt,1.0,2,0,1,-1,mfa_textgrid_phone
1.000000,1.070000,EH1,attempt,1.0,2,0,2,-1,mfa_textgrid_phone
1.070000,1.120000,M,attempt,1.0,2,0,3,-1,mfa_textgrid_phone
1.120000,1.150000,P,attempt,1.0,2,0,4,-1,mfa_textgrid_phone
1.150000,1.180000,T,attempt,1.0,2,0,5,-1,mfa_textgrid_phone
1.180000,1.350000,F,failed,1.0,3,0,0,-1,mfa_textgrid_phone
1.350000,1.500000,EY1,failed,1.0,3,0,1,-1,mfa_textgrid_phone
1.500000,1.610000,L,failed,1.0,3,0,2,-1,mfa_textgrid_phone
1.610000,1.710000,D,failed,1.0,3,0,3,-1,mfa_textgrid_phone
2.240000,2.300000,W,we,1.0,4,1,0,-1,mfa_textgrid_phone
2.300000,2.350000,IY1,we,1.0,4,1,1,-1,mfa_textgrid_phone
2.350000,2.420000,R,replaced,1.0,5,1,0,-1,mfa_textgrid_phone
2.420000,2.470000,IY2,replaced,1.0,5,1,1,-1,mfa_textgrid_phone
2.470000,2.560000,P,replaced,1.0,5,1,2,-1,mfa_textgrid_phone
2.560000,2.610000,L,replaced,1.0,5,1,3,-1,mfa_textgrid_phone
2.610000,2.690000,EY1,replaced,1.0,5,1,4,-1,mfa_textgrid_phone
2.690000,2.760000,S,replaced,1.0,5,1,5,-1,mfa_textgrid_phone
2.760000,2.810000,T,replaced,1.0,5,1,6,-1,mfa_textgrid_phone
2.810000,2.840000,DH,the,1.0,6,1,0,-1,mfa_textgrid_phone
2.840000,2.870000,AH0,the,1.0,6,1,1,-1,mfa_textgrid_phone
2.870000,2.980000,L,loose,1.0,7,1,0,-1,mfa_textgrid_phone
2.980000,3.070000,UW1,loose,1.0,7,1,1,-1,mfa_textgrid_phone
3.070000,3.150000,S,loose,1.0,7,1,2,-1,mfa_textgrid_phone
3.150000,3.230000,K,cable,1.0,8,1,0,-1,mfa_textgrid_phone
3.230000,3.330000,EY1,cable,1.0,8,1,1,-1,mfa_textgrid_phone
3.330000,3.420000,B,cable,1.0,8,1,2,-1,mfa_textgrid_phone
3.420000,3.430000,AH0,cable,1.0,8,1,3,-1,mfa_textgrid_phone
3.430000,3.620000,L,cable,1.0,8,1,4,-1,mfa_textgrid_phone
3.810000,3.900000,R,restarted,1.0,9,2,0,-1,mfa_textgrid_phone
3.900000,3.950000,IY0,restarted,1.0,9,2,1,-1,mfa_textgrid_phone
3.950000,4.020000,S,restarted,1.0,9,2,2,-1,mfa_textgrid_phone
4.020000,4.080000,T,restarted,1.0,9,2,3,-1,mfa_textgrid_phone
4.080000,4.120000,AA1,restarted,1.0,9,2,4,-1,mfa_textgrid_phone
4.120000,4.170000,R,restarted,1.0,9,2,5,-1,mfa_textgrid_phone
4.170000,4.200000,T,restarted,1.0,9,2,6,-1,mfa_textgrid_phone
4.200000,4.230000,IH0,restarted,1.0,9,2,7,-1,mfa_textgrid_phone
4.230000,4.270000,D,restarted,1.0,9,2,8,-1,mfa_textgrid_phone
4.270000,4.300000,DH,the,1.0,10,2,0,-1,mfa_textgrid_phone
4.300000,4.330000,AH0,the,1.0,10,2,1,-1,mfa_textgrid_phone
4.330000,4.390000,M,machine,1.0,11,2,0,-1,mfa_textgrid_phone
4.390000,4.420000,AH0,machine,1.0,11,2,1,-1,mfa_textgrid_phone
4.420000,4.560000,SH,machine,1.0,11,2,2,-1,mfa_textgrid_phone
4.560000,4.750000,IY1,machine,1.0,11,2,3,-1,mfa_textgrid_phone
4.750000,4.950000,N,machine,1.0,11,2,4,-1,mfa_textgrid_phone
5.260000,5.300000,AE1,and,1.0,12,3,0,-1,mfa_textgrid_phone
5.300000,5.340000,N,and,1.0,12,3,1,-1,mfa_textgrid_phone
5.340000,5.380000,D,and,1.0,12,3,2,-1,mfa_textgrid_phone
5.380000,5.460000,T,tried,1.0,13,3,0,-1,mfa_textgrid_phone
5.460000,5.500000,R,tried,1.0,13,3,1,-1,mfa_textgrid_phone
5.500000,5.590000,AY1,tried,1.0,13,3,2,-1,mfa_textgrid_phone
5.590000,5.630000,D,tried,1.0,13,3,3,-1,mfa_textgrid_phone
5.630000,5.670000,AH0,again,1.0,14,3,0,-1,mfa_textgrid_phone
5.670000,5.750000,G,again,1.0,14,3,1,-1,mfa_textgrid_phone
5.750000,5.900000,EH1,again,1.0,14,3,2,-1,mfa_textgrid_phone
5.900000,5.980000,N,again,1.0,14,3,3,-1,mfa_textgrid_phone
