word_index,word,start,end,speech_region_index,sentence_index
0,we,0.380000,0.500000,0,-1
1,have,0.500000,0.740000,0,-1
2,plenty,0.740000,1.100000,0,-1
3,of,1.100000,1.190000,0,-1
4,time,1.190000,1.650000,0,-1
5,take,2.500000,2.720000,1,-1
6,a,2.720000,2.760000,1,-1
7,breath,2.760000,3.260000,1,-1
8,read,3.760000,4.090000,2,-1
9,the,4.090000,4.160000,2,-1
10,question,4.160000,4.870000,2,-1
11,and,5.160000,5.310000,3,-1
12,choose,5.310000,5.630000,3,-1
13,your,5.630000,5.750000,3,-1
14,answer,5.750000,6.240000,3,-1
