word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,we,1,have,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,have,2,plenty,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,plenty,3,of,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,of,4,time,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,time,5,take,.,.,region_break,1,hard_punctuation_with_lull,1.500000,1.500000,1.500000,1.500000,0,1
5,take,6,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,a,7,breath,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
7,breath,8,read,",",",",region_break,1,comma_with_lull,0.260000,0.260000,0.260000,0.260000,1,2
8,read,9,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,the,10,question,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,question,11,and,",",",",region_break,1,comma_with_lull,0.120000,0.120000,0.120000,0.120000,2,3
11,and,12,choose,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
12,choose,13,your,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
13,your,14,answer,,,none,0,none,0.000000,0.000000,0.000000,0.000000,3,3
