word_index,word,start,end,speech_region_index,sentence_index
0,we,0.460000,0.580000,0,-1
1,have,0.580000,0.780000,0,-1
2,plenty,0.780000,1.130000,0,-1
3,of,1.130000,1.230000,0,-1
4,time,1.230000,1.640000,0,-1
5,take,3.140000,3.330000,1,-1
6,a,3.330000,3.380000,1,-1
7,breath,3.380000,3.820000,1,-1
8,read,4.080000,4.320000,2,-1
9,the,4.320000,4.390000,2,-1
10,question,4.390000,5.040000,2,-1
11,and,5.160000,5.300000,3,-1
12,choose,5.300000,5.600000,3,-1
13,your,5.600000,5.720000,3,-1
14,answer,5.720000,6.200000,3,-1
