word_index,word,start,end,speech_region_index,sentence_index
0,i,0.550000,0.670000,0,-1
1,cannot,0.670000,1.130000,0,-1
2,promise,1.130000,1.540000,0,-1
3,perfect,1.540000,2.010000,0,-1
4,weather,2.010000,2.430000,0,-1
5,i,3.470000,3.540000,1,-1
6,can,3.540000,3.690000,1,-1
7,promise,3.690000,4.060000,1,-1
8,a,4.060000,4.120000,1,-1
9,warm,4.120000,4.550000,1,-1
10,meal,4.550000,4.890000,1,-1
11,and,4.890000,5.030000,1,-1
12,a,5.030000,5.070000,1,-1
13,dry,5.070000,5.400000,1,-1
14,place,5.400000,5.710000,1,-1
15,to,5.710000,5.810000,1,-1
16,sleep,5.810000,6.250000,1,-1
