word_index,word,start,end,speech_region_index,sentence_index
0,we,1.140000,1.290000,0,-1
1,missed,1.290000,1.670000,0,-1
2,the,1.670000,1.830000,0,-1
3,early,1.860000,2.170000,0,-1
4,bus,2.170000,2.690000,0,-1
5,shall,4.290000,4.560000,1,-1
6,we,4.560000,4.690000,1,-1
7,walk,4.690000,5.200000,1,-1
8,or,6.010000,6.100000,2,-1
9,would,6.100000,6.290000,2,-1
10,you,6.290000,6.400000,2,-1
11,rather,6.400000,6.760000,2,-1
12,wait,6.760000,7.020000,2,-1
13,for,7.020000,7.160000,2,-1
14,the,7.160000,7.250000,2,-1
15,next,7.250000,7.590000,2,-1
16,one,7.590000,7.900000,2,-1
