start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.030000,0.060000,P,please,1.0,0,0,0,-1,mfa_textgrid_phone
0.060000,0.110000,L,please,1.0,0,0,1,-1,mfa_textgrid_phone
0.110000,0.180000,IY1,please,1.0,0,0,2,-1,mfa_textgrid_phone
0.180000,0.260000,Z,please,1.0,0,0,3,-1,mfa_textgrid_phone
0.260000,0.340000,W,wait,1.0,1,0,0,-1,mfa_textgrid_phone
0.340000,0.440000,EY1,wait,1.0,1,0,1,-1,mfa_textgrid_phone
0.440000,0.490000,T,wait,1.0,1,0,2,-1,mfa_textgrid_phone
0.490000,0.590000,HH,here,1.0,2,0,0,-1,mfa_textgrid_phone
0.590000,0.690000,IY1,here,1.0,2,0,1,-1,mfa_textgrid_phone
0.690000,0.890000,R,here,1.0,2,0,2,-1,mfa_textgrid_phone
