start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.350000,0.410000,W,we,1.0,0,0,0,-1,mfa_textgrid_phone
0.410000,0.450000,IY1,we,1.0,0,0,1,-1,mfa_textgrid_phone
0.450000,0.520000,K,can,1.0,1,0,0,-1,mfa_textgrid_phone
0.520000,0.560000,AH0,can,1.0,1,0,1,-1,mfa_textgrid_phone
0.560000,0.630000,N,can,1.0,1,0,2,-1,mfa_textgrid_phone
0.630000,0.670000,B,begin,1.0,2,0,0,-1,mfa_textgrid_phone
0.670000,0.730000,IH0,begin,1.0,2,0,1,-1,mfa_textgrid_phone
0.730000,0.840000,G,begin,1.0,2,0,2,-1,mfa_textgrid_phone
0.840000,0.950000,IH1,begin,1.0,2,0,3,-1,mfa_textgrid_phone
0.950000,1.070000,N,begin,1.0,2,0,4,-1,mfa_textgrid_phone
1.070000,1.110000,N,now,1.0,3,0,0,-1,mfa_textgrid_phone
1.110000,1.400000,AW1,now,1.0,3,0,1,-1,mfa_textgrid_phone
