start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.480000,0.540000,W,W,we,1.0,0,0,-1,W,0,mfa_textgrid_phone
0.540000,0.590000,IY1,IY1,we,1.0,0,0,-1,IY1,1,mfa_textgrid_phone
0.590000,0.710000,K,K,can,1.0,1,0,-1,K,0,mfa_textgrid_phone
0.710000,0.740000,AE1,AE1,can,1.0,1,0,-1,AE1,1,mfa_textgrid_phone
0.740000,0.810000,N,N,can,1.0,1,0,-1,N,2,mfa_textgrid_phone
0.810000,0.860000,B,B,begin,1.0,2,0,-1,B,0,mfa_textgrid_phone
0.860000,0.920000,IH0,IH0,begin,1.0,2,0,-1,IH0,1,mfa_textgrid_phone
0.920000,1.020000,G,G,begin,1.0,2,0,-1,G,2,mfa_textgrid_phone
1.020000,1.140000,IH1,IH1,begin,1.0,2,0,-1,IH1,3,mfa_textgrid_phone
1.140000,1.250000,N,N,begin,1.0,2,0,-1,N,4,mfa_textgrid_phone
1.250000,1.290000,N,N,now,1.0,3,0,-1,N,0,mfa_textgrid_phone
1.290000,1.760000,AW1,AW1,now,1.0,3,0,-1,AW1,1,mfa_textgrid_phone
