start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.620000,0.780000,F,fresh,1.0,0,0,0,-1,mfa_textgrid_phone
0.780000,0.830000,R,fresh,1.0,0,0,1,-1,mfa_textgrid_phone
0.830000,0.920000,EH1,fresh,1.0,0,0,2,-1,mfa_textgrid_phone
0.920000,1.060000,SH,fresh,1.0,0,0,3,-1,mfa_textgrid_phone
1.060000,1.150000,B,bread,1.0,1,0,0,-1,mfa_textgrid_phone
1.150000,1.200000,R,bread,1.0,1,0,1,-1,mfa_textgrid_phone
1.200000,1.310000,EH1,bread,1.0,1,0,2,-1,mfa_textgrid_phone
1.310000,1.380000,D,bread,1.0,1,0,3,-1,mfa_textgrid_phone
1.380000,1.530000,S,smells,1.0,2,0,0,-1,mfa_textgrid_phone
1.530000,1.580000,M,smells,1.0,2,0,1,-1,mfa_textgrid_phone
1.580000,1.660000,EH1,smells,1.0,2,0,2,-1,mfa_textgrid_phone
1.660000,1.770000,L,smells,1.0,2,0,3,-1,mfa_textgrid_phone
1.770000,1.870000,Z,smells,1.0,2,0,4,-1,mfa_textgrid_phone
1.870000,1.970000,W,wonderful,1.0,3,0,0,-1,mfa_textgrid_phone
1.970000,2.040000,AH1,wonderful,1.0,3,0,1,-1,mfa_textgrid_phone
2.040000,2.110000,N,wonderful,1.0,3,0,2,-1,mfa_textgrid_phone
2.110000,2.160000,D,wonderful,1.0,3,0,3,-1,mfa_textgrid_phone
2.160000,2.240000,ER0,wonderful,1.0,3,0,4,-1,mfa_textgrid_phone
2.240000,2.350000,F,wonderful,1.0,3,0,5,-1,mfa_textgrid_phone
2.350000,2.380000,AH0,wonderful,1.0,3,0,6,-1,mfa_textgrid_phone
2.380000,2.640000,L,wonderful,1.0,3,0,7,-1,mfa_textgrid_phone
