start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.490000,0.670000,F,fresh,1.0,0,0,0,-1,mfa_textgrid_phone
0.670000,0.710000,R,fresh,1.0,0,0,1,-1,mfa_textgrid_phone
0.710000,0.800000,EH1,fresh,1.0,0,0,2,-1,mfa_textgrid_phone
0.800000,0.930000,SH,fresh,1.0,0,0,3,-1,mfa_textgrid_phone
0.930000,1.030000,B,bread,1.0,1,0,0,-1,mfa_textgrid_phone
1.030000,1.080000,R,bread,1.0,1,0,1,-1,mfa_textgrid_phone
1.080000,1.220000,EH1,bread,1.0,1,0,2,-1,mfa_textgrid_phone
1.220000,1.320000,D,bread,1.0,1,0,3,-1,mfa_textgrid_phone
1.320000,1.460000,S,smells,1.0,2,0,0,-1,mfa_textgrid_phone
1.460000,1.500000,M,smells,1.0,2,0,1,-1,mfa_textgrid_phone
1.500000,1.560000,EH1,smells,1.0,2,0,2,-1,mfa_textgrid_phone
1.560000,1.660000,L,smells,1.0,2,0,3,-1,mfa_textgrid_phone
1.660000,1.800000,Z,smells,1.0,2,0,4,-1,mfa_textgrid_phone
1.800000,1.940000,W,wonderful,1.0,3,0,0,-1,mfa_textgrid_phone
1.940000,2.010000,AH1,wonderful,1.0,3,0,1,-1,mfa_textgrid_phone
2.010000,2.080000,N,wonderful,1.0,3,0,2,-1,mfa_textgrid_phone
2.080000,2.130000,D,wonderful,1.0,3,0,3,-1,mfa_textgrid_phone
2.130000,2.190000,ER0,wonderful,1.0,3,0,4,-1,mfa_textgrid_phone
2.190000,2.300000,F,wonderful,1.0,3,0,5,-1,mfa_textgrid_phone
2.300000,2.330000,AH0,wonderful,1.0,3,0,6,-1,mfa_textgrid_phone
2.330000,2.560000,L,wonderful,1.0,3,0,7,-1,mfa_textgrid_phone
