start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.490000,0.670000,F,F,fresh,1.0,0,0,-1,F,0,mfa_textgrid_phone
0.670000,0.710000,R,R,fresh,1.0,0,0,-1,R,1,mfa_textgrid_phone
0.710000,0.800000,EH1,EH1,fresh,1.0,0,0,-1,EH1,2,mfa_textgrid_phone
0.800000,0.930000,SH,SH,fresh,1.0,0,0,-1,SH,3,mfa_textgrid_phone
0.930000,1.030000,B,B,bread,1.0,1,0,-1,B,0,mfa_textgrid_phone
1.030000,1.080000,R,R,bread,1.0,1,0,-1,R,1,mfa_textgrid_phone
1.080000,1.220000,EH1,EH1,bread,1.0,1,0,-1,EH1,2,mfa_textgrid_phone
1.220000,1.320000,D,D,bread,1.0,1,0,-1,D,3,mfa_textgrid_phone
1.320000,1.460000,S,S,smells,1.0,2,0,-1,S,0,mfa_textgrid_phone
1.460000,1.500000,M,M,smells,1.0,2,0,-1,M,1,mfa_textgrid_phone
1.500000,1.560000,EH1,EH1,smells,1.0,2,0,-1,EH1,2,mfa_textgrid_phone
1.560000,1.660000,L,L,smells,1.0,2,0,-1,L,3,mfa_textgrid_phone
1.660000,1.800000,Z,Z,smells,1.0,2,0,-1,Z,4,mfa_textgrid_phone
1.800000,1.940000,W,W,wonderful,1.0,3,0,-1,W,0,mfa_textgrid_phone
1.940000,2.010000,AH1,AH1,wonderful,1.0,3,0,-1,AH1,1,mfa_textgrid_phone
2.010000,2.080000,N,N,wonderful,1.0,3,0,-1,N,2,mfa_textgrid_phone
2.080000,2.130000,D,D,wonderful,1.0,3,0,-1,D,3,mfa_textgrid_phone
2.130000,2.190000,ER0,ER0,wonderful,1.0,3,0,-1,ER0,4,mfa_textgrid_phone
2.190000,2.300000,F,F,wonderful,1.0,3,0,-1,F,5,mfa_textgrid_phone
2.300000,2.330000,AH0,AH0,wonderful,1.0,3,0,-1,AH0,6,mfa_textgrid_phone
2.330000,2.560000,L,L,wonderful,1.0,3,0,-1,L,7,mfa_textgrid_phone
