start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.670000,0.750000,W,we,1.0,0,0,0,-1,mfa_textgrid_phone
0.750000,0.820000,IY1,we,1.0,0,0,1,-1,mfa_textgrid_phone
0.820000,0.870000,N,need,1.0,1,0,0,-1,mfa_textgrid_phone
0.870000,0.980000,IY1,need,1.0,1,0,1,-1,mfa_textgrid_phone
0.980000,1.030000,D,need,1.0,1,0,2,-1,mfa_textgrid_phone
1.030000,1.180000,S,soap,1.0,2,0,0,-1,mfa_textgrid_phone
1.180000,1.320000,OW1,soap,1.0,2,0,1,-1,mfa_textgrid_phone
1.320000,1.390000,P,soap,1.0,2,0,2,-1,mfa_textgrid_phone
1.420000,1.540000,T,towels,1.0,3,0,0,-1,mfa_textgrid_phone
1.540000,1.680000,AW1,towels,1.0,3,0,1,-1,mfa_textgrid_phone
1.680000,1.850000,L,towels,1.0,3,0,2,-1,mfa_textgrid_phone
1.850000,1.930000,Z,towels,1.0,3,0,3,-1,mfa_textgrid_phone
1.930000,2.020000,B,brushes,1.0,4,0,0,-1,mfa_textgrid_phone
2.020000,2.070000,R,brushes,1.0,4,0,1,-1,mfa_textgrid_phone
2.070000,2.140000,AH1,brushes,1.0,4,0,2,-1,mfa_textgrid_phone
2.140000,2.280000,SH,brushes,1.0,4,0,3,-1,mfa_textgrid_phone
2.280000,2.390000,IH0,brushes,1.0,4,0,4,-1,mfa_textgrid_phone
2.390000,2.460000,Z,brushes,1.0,4,0,5,-1,mfa_textgrid_phone
2.460000,2.530000,AH0,and,1.0,5,0,0,-1,mfa_textgrid_phone
2.530000,2.590000,N,and,1.0,5,0,1,-1,mfa_textgrid_phone
2.590000,2.620000,D,and,1.0,5,0,2,-1,mfa_textgrid_phone
2.620000,2.660000,G,gloves,1.0,6,0,0,-1,mfa_textgrid_phone
2.660000,2.720000,L,gloves,1.0,6,0,1,-1,mfa_textgrid_phone
2.720000,2.920000,AH1,gloves,1.0,6,0,2,-1,mfa_textgrid_phone
2.920000,3.010000,V,gloves,1.0,6,0,3,-1,mfa_textgrid_phone
3.010000,3.190000,Z,gloves,1.0,6,0,4,-1,mfa_textgrid_phone
