start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.230000,0.310000,HH,HH,her,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.310000,0.380000,ER0,ER0,her,1.0,0,0,-1,ER0,1,mfa_textgrid_phone
0.380000,0.450000,B,B,bag,1.0,1,0,-1,B,0,mfa_textgrid_phone
0.450000,0.640000,AE1,AE1,bag,1.0,1,0,-1,AE1,1,mfa_textgrid_phone
0.640000,0.680000,G,G,bag,1.0,1,0,-1,G,2,mfa_textgrid_phone
0.680000,0.730000,HH,HH,held,1.0,2,0,-1,HH,0,mfa_textgrid_phone
0.730000,0.780000,EH1,EH1,held,1.0,2,0,-1,EH1,1,mfa_textgrid_phone
0.780000,0.850000,L,L,held,1.0,2,0,-1,L,2,mfa_textgrid_phone
0.850000,0.890000,D,D,held,1.0,2,0,-1,D,3,mfa_textgrid_phone
0.890000,0.940000,AH0,AH0,a,1.0,3,0,-1,AH0,0,mfa_textgrid_phone
0.940000,1.060000,B,B,book,1.0,4,0,-1,B,0,mfa_textgrid_phone
1.060000,1.230000,UH1,UH1,book,1.0,4,0,-1,UH1,1,mfa_textgrid_phone
1.230000,1.350000,K,K,book,1.0,4,0,-1,K,2,mfa_textgrid_phone
1.440000,1.510000,AH0,AH0,a,1.0,5,0,-1,AH0,0,mfa_textgrid_phone
1.510000,1.630000,M,M,map,1.0,6,0,-1,M,0,mfa_textgrid_phone
1.630000,1.850000,AE1,AE1,map,1.0,6,0,-1,AE1,1,mfa_textgrid_phone
1.850000,1.960000,P,P,map,1.0,6,0,-1,P,2,mfa_textgrid_phone
2.020000,2.070000,AE1,AE1,and,1.0,7,0,-1,AE1,0,mfa_textgrid_phone
2.070000,2.130000,N,N,and,1.0,7,0,-1,N,1,mfa_textgrid_phone
2.130000,2.180000,D,D,and,1.0,7,0,-1,D,2,mfa_textgrid_phone
2.180000,2.280000,T,T,two,1.0,8,0,-1,T,0,mfa_textgrid_phone
2.280000,2.380000,UW1,UW1,two,1.0,8,0,-1,UW1,1,mfa_textgrid_phone
2.380000,2.500000,S,S,small,1.0,9,0,-1,S,0,mfa_textgrid_phone
2.500000,2.550000,M,M,small,1.0,9,0,-1,M,1,mfa_textgrid_phone
2.550000,2.630000,AO1,AO1,small,1.0,9,0,-1,AO1,2,mfa_textgrid_phone
2.630000,2.680000,L,L,small,1.0,9,0,-1,L,3,mfa_textgrid_phone
2.680000,2.790000,K,K,coins,1.0,10,0,-1,K,0,mfa_textgrid_phone
2.790000,3.000000,OY1,OY1,coins,1.0,10,0,-1,OY1,1,mfa_textgrid_phone
3.000000,3.080000,N,N,coins,1.0,10,0,-1,N,2,mfa_textgrid_phone
3.080000,3.190000,Z,Z,coins,1.0,10,0,-1,Z,3,mfa_textgrid_phone
