start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.250000,0.360000,HH,HH,her,1.0,0,0,-1,HH,0,mfa_textgrid_phone
0.360000,0.420000,ER0,ER0,her,1.0,0,0,-1,ER0,1,mfa_textgrid_phone
0.420000,0.530000,B,B,bag,1.0,1,0,-1,B,0,mfa_textgrid_phone
0.530000,0.780000,AE1,AE1,bag,1.0,1,0,-1,AE1,1,mfa_textgrid_phone
0.780000,0.840000,G,G,bag,1.0,1,0,-1,G,2,mfa_textgrid_phone
0.840000,0.950000,HH,HH,held,1.0,2,0,-1,HH,0,mfa_textgrid_phone
0.950000,1.000000,EH1,EH1,held,1.0,2,0,-1,EH1,1,mfa_textgrid_phone
1.000000,1.080000,L,L,held,1.0,2,0,-1,L,2,mfa_textgrid_phone
1.080000,1.130000,D,D,held,1.0,2,0,-1,D,3,mfa_textgrid_phone
1.130000,1.170000,AH0,AH0,a,1.0,3,0,-1,AH0,0,mfa_textgrid_phone
1.170000,1.270000,B,B,book,1.0,4,0,-1,B,0,mfa_textgrid_phone
1.270000,1.420000,UH1,UH1,book,1.0,4,0,-1,UH1,1,mfa_textgrid_phone
1.420000,1.620000,K,K,book,1.0,4,0,-1,K,2,mfa_textgrid_phone
2.120000,2.190000,AH0,AH0,a,1.0,5,1,-1,AH0,0,mfa_textgrid_phone
2.190000,2.320000,M,M,map,1.0,6,1,-1,M,0,mfa_textgrid_phone
2.320000,2.570000,AE1,AE1,map,1.0,6,1,-1,AE1,1,mfa_textgrid_phone
2.570000,2.740000,P,P,map,1.0,6,1,-1,P,2,mfa_textgrid_phone
3.470000,3.530000,AE1,AE1,and,1.0,7,2,-1,AE1,0,mfa_textgrid_phone
3.530000,3.670000,N,N,and,1.0,7,2,-1,N,1,mfa_textgrid_phone
3.670000,3.720000,D,D,and,1.0,7,2,-1,D,2,mfa_textgrid_phone
3.720000,3.840000,T,T,two,1.0,8,2,-1,T,0,mfa_textgrid_phone
3.840000,4.070000,UW1,UW1,two,1.0,8,2,-1,UW1,1,mfa_textgrid_phone
4.070000,4.250000,S,S,small,1.0,9,2,-1,S,0,mfa_textgrid_phone
4.250000,4.320000,M,M,small,1.0,9,2,-1,M,1,mfa_textgrid_phone
4.320000,4.480000,AA1,AA1,small,1.0,9,2,-1,AA1,2,mfa_textgrid_phone
4.480000,4.540000,L,L,small,1.0,9,2,-1,L,3,mfa_textgrid_phone
4.540000,4.680000,K,K,coins,1.0,10,2,-1,K,0,mfa_textgrid_phone
4.680000,4.900000,OY1,OY1,coins,1.0,10,2,-1,OY1,1,mfa_textgrid_phone
4.900000,5.040000,N,N,coins,1.0,10,2,-1,N,2,mfa_textgrid_phone
5.040000,5.230000,Z,Z,coins,1.0,10,2,-1,Z,3,mfa_textgrid_phone
