word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,her,1,bag,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,bag,2,held,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,held,3,a,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,a,4,book,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,book,5,a,",",",",region_break,1,comma_with_lull,0.340000,0.340000,0.340000,0.340000,0,1
5,a,6,map,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,map,7,and,",",",",region_break,1,comma_with_lull,0.150000,0.150000,0.150000,0.150000,1,2
7,and,8,two,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,two,9,small,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,small,10,coins,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
